ID,Text,BG Color,Sticky type,Border line,Position X,Position Y,Area,Link to,Last Updated By,Last Updated,Last Content Edited By,Last Content Edited,Tags,Integration Labels
251-1751965333816,"Wants a more exhaustive list in the More Info components, or at least if it's only providing a few examples, have a line that links out to a separate page that's got everything",#B8B299,3x3,NO,27125.36,12686.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
159-1751965333816,"""...if it is, it would be nice if it said 'gross (income) minus deductions'""",#B8B299,3x3,NO,26801.36,12848.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
195-1751965333816,"What would she want in the dropdown?A breakdown of what qualifies, just like for gross income",#B8B299,3x3,NO,26963.36,12686.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
221-1751965333816,"Confused by the lack of drop-down More Info component on the Net income from a farm, property, or business",#B8B299,3x3,NO,26963.36,12848.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
155-1751965333816,"""Is this my gross income minus deductions? The 47,798?""",#B8B299,3x3,NO,26639.36,12848.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
151-1751965333816,Assumes the list of examples is the four ONLY things that count,#B8B299,3x3,NO,26801.36,12686.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
145-1751965333816,"I don't know if itemizing would be helpful, but at least having the More Info components makes sense",#B8B299,3x3,NO,27287.36,12686.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
146-1751965333816,"Is this all-inclusive here? If I clicked on this, is it these 4 (items), or these are 4 examples of types of things that would be included?",#B8B299,3x3,NO,26639.36,12686.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
170-1751965316751,"no, standard flow for VA app",#FADAB3,3x3,NO,26963.36,13010.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
164-1751965316751,"calls out a sentence to be in bold: ""We only consider medical expenses..."" last paragraph in add info",#FADAB3,3x3,NO,26639.36,13010.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
147-1751965316751,"Thinks the info should be collapsable, if you don't qualify, you don't need to see it ",#FADAB3,3x3,NO,26801.36,13010.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
212-1751965316751,ON deductible expenses page: wants it bolded around non-reimbursible. That's the most important part of the explanation/content,#FADAB3,3x3,NO,27287.36,13010.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
213-1751965316751,"""I skim through stuff""",#FADAB3,3x3,NO,27125.36,13010.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
211-1751965316751,Wants each section of the financial reporting page to be collapsible so they don't have to scroll,#FADAB3,3x3,NO,27287.36,12848.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
120-1751498416214,reduce risk of typing errors,#D8C7FF,3x3,NO,27287.36,12524.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
27-1751498416214,recommends an area to expand for form examples,#D8C7FF,3x3,NO,26801.36,12524.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
99-1751498416214,would you be able to get your info from the gov't sites? Like how it submits for you - pull from other sites and don't have to reenter info. ,#D8C7FF,3x3,NO,27125.36,12524.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
198-1751498416214,Maybe an expandable section where you list the forms that these numbers can be found,#D8C7FF,3x3,NO,26639.36,12524.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
204-1751498416214,I wonder if giving the forms you need to get from the government to help people figure out which forms they can find these numbers off of,#D8C7FF,3x3,NO,26963.36,12524.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
8-1751334759857,"""Non-reimbursible expenses"" getting into the weeds about this, would want more info on that.",#AAED92,3x3,NO,26639.36,13172.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-06-30T18:52:42-07:00,[],[]
73-1751329209704,Wants fields to prepopulate - frustrated by having to fill this again,#D8D8B1,3x3,NO,26963.36,12362.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-06-30T17:20:12-07:00,[],[]
53-1751329209704,Income: wants to see last year's,#D8D8B1,3x3,NO,27125.36,12362.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-06-30T17:20:12-07:00,[],[]
32-1751329209704,"If it's something I'm changing, why do I have to go through stuff that hasn't changed?",#D8D8B1,3x3,NO,27287.36,12362.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-06-30T17:20:12-07:00,[],[]
21-1751303053656,"""Either pre-populate this/hit continue"" or ""prefill so I don't have to enter it. Why do I have to enter it if it hasn't changed?""",#D8D8B1,3x3,NO,26639.36,12362.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-06-30T10:04:16-07:00,[],[]
18-1751303053656,"Expenses page: ""If there is no change (from last year), having to enter the amount is kind of irritating. You're asking me to enter the information that hasn't changed""",#D8D8B1,3x3,NO,26801.36,12362.49,"Need clarification, examples",,Hieu Vo,2025-07-21T11:11:43-07:00,Hieu Vo,2025-06-30T10:04:16-07:00,[],[]
94-1751965333816,"found the Net income section confusing, especially because this field is really for farm, prop or biz",#B8B299,3x3,NO,24479.76,14002.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
81-1751965333816,asked if user would need to use tax return to fill in the fields,#B8B299,3x3,NO,24317.76,14002.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
226-1751965333816,"""So are people filing this out getting this information off of their tax returns?""",#B8B299,3x3,NO,24479.76,14164.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
329-1751965316751,"If I was doing this for real, I'd know my expenses going in and I expect my expenses to change",#FADAB3,3x3,NO,23831.77,14488.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
153-1751965316751,Same with education; costs are more likely to change year over year due to variables,#FADAB3,3x3,NO,24479.77,14488.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
148-1751965316751,Medical information is something that is likely to change more year to year,#FADAB3,3x3,NO,23993.77,14488.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
124-1751965316751,"The medical expenses can change, based off of medications and travel time that would be changing year to year",#FADAB3,3x3,NO,24317.77,14488.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
117-1751965316751,"other income shouldn't be required if they don't have, I mean yeah they could put 0 but it is just extra work",#FADAB3,3x3,NO,24155.77,14488.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
136-1751964616384,"Specifically calls out the deductible section as the issue ""I wouldn't necessarily think of medical and school deductions"" when I think reporting financial informaiton",#FCB6D4,3x3,NO,23831.76,14164.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
18-1751964616384,"""For me, I wouldn't consider medical expenses or education...I wouldn't know to bring it."" Would have to stop and get that information. ",#FCB6D4,3x3,NO,24155.76,14164.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
27-1751964616384,"Spouse's information - ""stuff I would expect to collect when filling out financial information""",#FCB6D4,3x3,NO,24317.76,14164.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
61-1751964616384,A little surprised by funeral and burial expenses,#FCB6D4,3x3,NO,23993.76,14164.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
116-1751498416214,"""If gross income from work is W2, would it make mention W2?""",#D8C7FF,3x3,NO,24317.76,14812.44,Financial section expectation,,Hieu Vo,2025-07-21T11:23:44-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
108-1751498416214,"not the forms, but my source of income might make this complicated to gather all the data, unless I just recently finished my taxes",#D8C7FF,3x3,NO,24479.76,14654.10,Financial section expectation,,Hieu Vo,2025-07-21T11:24:58-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
137-1751498416214,Would it be more useful to include the word W2 for gross income content?,#D8C7FF,3x3,NO,24479.77,14812.44,Financial section expectation,,Hieu Vo,2025-07-21T11:52:53-07:00,Hieu Vo,2025-07-02T16:20:23-07:00,[],[]
136-1751419105986,"""My benefits are related to my service-connected disability, so why my financial info"" - fin not required",#86E6D9,3x3,NO,24317.76,13840.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
128-1751419105986,"""I don't know why I'm filling this out...has nothing to do with VA...not applying for loan""",#86E6D9,3x3,NO,24479.76,13840.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
164-1751419105986,"""Why do you want my financial info"" - finds this invasive",#86E6D9,3x3,NO,24155.76,13840.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
71-1751419105986,"""A good system says things once""",#86E6D9,3x3,NO,24155.76,14002.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
27-1751419105986,"""Very invasive, I think.""",#86E6D9,3x3,NO,23993.76,14002.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
60-1751406582449,"asking me for it but not telling me why. In the beginning with bold letters. takes the fear away, the defensiveness away",#86E6D9,3x3,NO,23993.76,13840.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
49-1751406582449,there's that financial stuff again... why do you need that,#86E6D9,3x3,NO,23831.76,14002.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
47-1751406582449,"I know this is qualifying for programs or copays, but some people might not want to share and you are making it required",#86E6D9,3x3,NO,23831.76,13840.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
24-1751406582449,"I don't know why I am filling this out.. nothing to do with the VA. Financial have nothing to do with it, I am not applying for a loan with the VA",#86E6D9,3x3,YES,24479.76,13678.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
83-1751406582449,Why do they want my financial information? Why do you want it on the internet? evasive/personal,#86E6D9,3x3,NO,24155.76,13678.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
5-1751406582449,why do we need to know that?,#86E6D9,3x3,YES,24317.76,13678.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
78-1751406582449,"Reluctant to give you that, it is irrelevant. Don't need to know that",#86E6D9,3x3,NO,23831.76,13678.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
75-1751406582449,My health care benefits are based upon my service connected disabilities,#86E6D9,3x3,NO,23993.76,13678.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
8-1751394433902,Deductible: understands that Veteran and spouse seen as 1 entity,#AAED92,3x3,NO,23993.76,14654.10,Financial section expectation,,Hieu Vo,2025-07-21T11:24:58-07:00,Hieu Vo,2025-07-01T11:27:16-07:00,[],[]
4-1751394433902,"Paused at ""your income"" - if not single, would expect ""your household income""",#AAED92,3x3,NO,24317.76,14654.10,Financial section expectation,,Hieu Vo,2025-07-21T11:24:58-07:00,Hieu Vo,2025-07-01T11:27:16-07:00,[],[]
16-1751334759857,"Confused why spouse income isn't referenced on the financial info intro page ""Do you have income and deductible expenses for 2024"" only suggests the section will be about the Veteran, not the spouse",#AAED92,3x3,NO,24155.76,14654.10,Financial section expectation,,Hieu Vo,2025-07-21T11:24:58-07:00,Hieu Vo,2025-06-30T18:52:42-07:00,[],[]
3-1751334759857,"""I wasn't expecting a question about my spouse to pop up""",#AAED92,3x3,NO,23831.76,14654.10,Financial section expectation,,Hieu Vo,2025-07-21T11:24:58-07:00,Hieu Vo,2025-06-30T18:52:42-07:00,[],[]
46-1751329209704,"""Medical I'll assume includes dental and vision""",#D8D8B1,3x3,NO,23993.76,14812.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-06-30T17:20:12-07:00,[],[]
20-1751303053656,"Asking this question before seeing prior financial reporting, it's hard to know/see what expenses I have to add. Maybe a quick screen that shows ""here's what's in the system""",#D8D8B1,3x3,NO,23831.76,14812.44,Financial section expectation,,Hieu Vo,2025-07-21T11:09:03-07:00,Hieu Vo,2025-06-30T10:04:16-07:00,[],[]
37-1750984883138,Expects VA to know if he doesn't have financial/applicable income,#FCF281,3x3,NO,23993.77,14326.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-06-26T17:41:27-07:00,[],[]
155-1750984883138,Expects the VA to know/have their financial info since they have no applicable income,#FCF281,3x3,NO,24155.77,14326.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-06-26T17:41:27-07:00,[],[]
106-1750984883138,"Doesn't think he'd read slowly through the financial section page: ""there's no need to, for me (to closely review)""",#FCF281,3x3,NO,23831.77,14326.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:31-07:00,Hieu Vo,2025-06-26T17:41:27-07:00,[],[]
23-1751303053656,"Might be nice to have an ""other income types"" page (or dependents income page) or ""do you have any other income that's not covered"" some catchall category",#D8D8B1,3x3,NO,24155.77,14812.44,Financial section expectation,,Hieu Vo,2025-07-21T11:52:50-07:00,Hieu Vo,2025-06-30T10:04:16-07:00,[],[]
86-1750984883138,p1 states he has no taxable income and would indicate zero for his income,#FCF281,3x3,NO,24479.77,14326.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-06-26T17:41:27-07:00,[],[]
180-1750984883138,Participant notes he wouldn't have to report this information because he has no reportable income (would input $0 in all fields),#FCF281,3x3,NO,24317.77,14326.44,Financial section expectation,,Hieu Vo,2025-07-21T11:24:50-07:00,Hieu Vo,2025-06-26T17:41:27-07:00,[],[]
108-1751965352846,"I would go through this more slowly IRL because there's a dollar amount. If this doesn't apply to me, I'd switch my financial reporting to zero",#C0DA93,3x3,NO,26296.03,13010.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:41-07:00,[],[]
61-1751965333816,"Rating = getting all the info, adding it up and entering it, would be hard",#B8B299,3x3,NO,26296.03,12686.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
192-1751965333816,"Financial SEQ:1 (very)Going and getting the information would be hard, the form is easy",#B8B299,3x3,NO,26134.03,12686.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:26-07:00,[],[]
172-1751965316751,ubers to my appointment not getting refunded from the travel deptartment,#FADAB3,3x3,NO,25972.03,12848.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
173-1751965316751,process of collecting financial more difficult/time consuming ,#FADAB3,3x3,NO,25648.03,13010.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
171-1751965316751,"rating to complete: a 3 just because I have to make sure I find all the correct info financial wise. Receipts, invoices, ",#FADAB3,3x3,NO,25810.03,12848.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
156-1751965316751,"Financial information section: ""3, just because I have to make sure I have all the correct information financial-wise, receipts, documents.""",#FADAB3,3x3,NO,25648.03,12848.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
120-1751965316751,"I would double check just to make sure, my expenses the same. ",#FADAB3,3x3,NO,26296.03,12848.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
275-1751965316751,Wants more of a heads up to gather and itemize non-reimbursible deductible expenses,#FADAB3,3x3,NO,26134.03,12848.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T02:02:09-07:00,[],[]
101-1751964616384,Having to go get that additional information...that would not have come to mind to me when doing this form,#FCB6D4,3x3,NO,26297.00,12362.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
64-1751964616384,Might need to gather other documents if you didn't know you'd need some of this up front,#FCB6D4,3x3,NO,26135.00,12362.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
58-1751964616384,"""Deductible expenses...oh that's something you may have to figure out."" Wouldn't necessarily keep with tax information.",#FCB6D4,3x3,NO,25973.00,12362.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
90-1751964616384,Pulling together an itemized list of deductible expenses would be time-consuming,#FCB6D4,3x3,NO,25648.03,12362.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
65-1751964616384,"Straightforward, but if you don't need to know about deductibles, this is going to take time to itemize",#FCB6D4,3x3,NO,25811.00,12362.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-08T01:50:24-07:00,[],[]
68-1751855579883,"if it is being asked, it is required, so I guess not bypass, but stress to have to put this information in",#9EDCFA,3x3,NO,26134.03,13010.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-06T19:33:05-07:00,[],[]
121-1751419105986,"""I didn't know they wanted my fianncials, I gotta stop and get that""",#86E6D9,3x3,NO,26134.03,12524.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
130-1751419105986,Has to stop the flow and look up that information in order to be accurate,#86E6D9,3x3,NO,25648.03,12686.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
29-1751419105986,Has to go find his gross income; go into computer and files. Frustration level is going to build. ,#86E6D9,3x3,NO,26296.03,12524.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-01T18:18:30-07:00,[],[]
1-1751415044460,all this information - would take estimate it - as exact as possible.. it could take 10-15 minutes to an hour to locate this stuff,#86E6D9,3x3,NO,25810.03,12524.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-01T17:10:45-07:00,[],[]
0-1751415044460,Are all Veterans organized do they have all this information available,#86E6D9,3x3,NO,25972.03,12524.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-01T17:10:45-07:00,[],[]
88-1751406582449,"going to have to step away from the screen , go and get financial info",#86E6D9,3x3,NO,25648.03,12524.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-01T14:49:45-07:00,[],[]
53-1751394433902,Would need tax info on the ready to fill this out,#AAED92,3x3,NO,25972.03,13010.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-07-01T11:27:16-07:00,[],[]
12-1751334759857,"Why? The only hard thing would be having tax forms on the ready, but that's not on the VA, that's their obligation to provide",#AAED92,3x3,NO,25810.03,13010.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-06-30T18:52:42-07:00,[],[]
79-1751329209704,There's a lot of preparation time - has to go on another screen to find expenses,#D8D8B1,3x3,NO,25972.03,12686.02,stop application to find gather info,,Hieu Vo,2025-07-21T11:06:02-07:00,Hieu Vo,2025-06-30T17:20:12-07:00,[],[]
