title.en,url,description.en,publish_start_on,publish_end_on,keyword_values,match_keyword_values_only,status
How to Apply for the GI Bill and Other Education Benefits,www.va.gov/education/how-to-apply/,"Find out how to apply for the GI Bill and other VA education benefits as a Veteran, Servicemember, or qualified family member. You can apply online, by mail, in person, or with the help of a trained professional.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Correspondance Training,www.va.gov/education/about-gi-bill-benefits/how-to-use-benefits/correspondance-training/,Correspondance Training,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Co-op Training,www.va.gov/education/about-gi-bill-benefits/how-to-use-benefits/co-op-training/,Co-op Training,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Montgomery GI Bill Active Duty (MGIB-AD),www.va.gov/education/about-gi-bill-benefits/montgomery-active-duty/,Montgomery GI Bill Active Duty (MGIB-AD),"November 8th 2018, 00:00:00.000",,[],FALSE,active
Interest Rate Reduction Refinance Loan (IRRRL),www.va.gov/housing-assistance/home-loans/loan-types/interest-rate-reduction-loan/,Interest Rate Reduction Refinance Loan (IRRRL),"November 8th 2018, 00:00:00.000",,[],FALSE,active
Careers and Employment,www.va.gov/careers-employment/,"VA can support you in all stages of your job search—from returning to work with a service-connected disability, to getting more training for new job opportunities, to starting or growing your own business.","November 8th 2018, 00:00:00.000",,"[""employment"",""find a job"",""job"",""job seeker"",""jobs""]",FALSE,active
VA Dentistry - Improving Veterans Oral Health Home,www.va.gov/dental/,"VA offers comprehensive dental care benefits to certain qualifying Veterans. To better understand if you are eligible for VA dental care, take a look at the Dental Benefits for Veterans document, as well as other resources.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Guidance on Natural Disasters (PDF),www.benefits.va.gov/homeloans/documents/docs/va_policy_regarding_natural_disasters.pdf,Guidance on Natural Disasters (PDF),"November 8th 2018, 00:00:00.000",,[],FALSE,active
VA/DoD eBenefits,www.ebenefits.va.gov/ebenefits/homepage,Manage and review some of your VA benefits at eBenefits.,"November 8th 2018, 00:00:00.000",,"[""ebenefits"",""ebenifits""]",FALSE,active
Access and Quality in VA Healthcare,www.accesstocare.va.gov,How quickly can my VA facility see me? How satisfied are Veterans with their care in my facility? How does care compare across VA facilities?,"November 13th 2018, 00:00:00.000",,"[""access to care"",""wait times""]",FALSE,active
Jobs at VA,www.vacareers.va.gov/,"Take the first step toward joining a team of highly talented heath care professionals, collaborating to deliver quality, compassionate care to America’s Veterans.","November 15th 2018, 00:00:00.000",,"[""careers"",""employment"",""jobs""]",FALSE,active
Change your address,www.va.gov/change-address/,Find out how to change your address and other contact information in your VA.gov profile.,"February 21st 2019, 00:00:00.000",,"[""change address"",""profile"",""update address""]",FALSE,active
Schedule a burial for a Veteran or family member,www.va.gov/burials-memorials/schedule-a-burial/,"Find out how to make burial plans for a Veteran, spouse, or dependent family member.","February 21st 2020, 00:00:00.000",,"[""plan a burial"",""schedule a burial""]",FALSE,active
Find a VA form,www.va.gov/find-forms/,"Search for VA forms by keyword, form name, or form number. Quickly access top tasks for frequently downloaded VA forms.","November 1st 2018, 00:00:00.000",,"[""forms"",""va forms""]",FALSE,active
VA outreach materials,www.va.gov/outreach-and-events/outreach-materials/,Use our outreach materials to help Veterans manage their journey with VA and learn about their benefits.,"September 14th 2020, 00:00:00.000",,"[""fact sheet"",""flyer"",""outreach material"",""poster"",""video"",""fact sheets"",""flyers"",""outreach materials"",""posters"",""videos""]",FALSE,active
The Program of Comprehensive Assistance for Family Caregivers,www.va.gov/family-member-benefits/comprehensive-assistance-for-family-caregivers/,This program offers support and services for family caregivers of eligible Veterans who were seriously injured in the line of duty during certain time periods and meet other eligibility requirements. Learn about eligibility and how to apply.,"October 6th 2020, 00:00:00.000",,"[""caregiver pay"",""caregiver stipend"",""veteran caregiver"",""caregiver program""]",FALSE,active
Grave Locator,m.va.gov/gravelocator/index.cfm,"Search for burial locations of veterans and their family members in VA National Cemeteries, state veterans cemeteries and various other military and Department of Interior cemeteries.","November 8th 2018, 00:00:00.000",,"[""grave locator"",""grave locater"",""find graves""]",FALSE,active
VA Decision Reviews and Appeals,www.va.gov/decision-reviews/,"The VA legacy appeals process has changed to a decision review process. If you disagree with a VA decision dated on or after February 19, 2019, you can choose one of the following decision review options to continue your case.","February 20th 2019, 00:00:00.000",,"[""appeal"",""appeals"",""appeals modernization"",""decision review""]",FALSE,active
Your VA.gov Profile,www.va.gov/profile/,"Review your contact, personal, and military service information—and find out how to make any needed updates or corrections.","April 5th 2019, 00:00:00.000",,"[""profile""]",FALSE,active
VA Community Care,www.va.gov/COMMUNITYCARE/,"VA provides care to Veterans through community providers when VA cannot provide the care needed. Community care is based on specific eligibility requirements, availability of VA care, and the needs and circumstances of individual Veterans.","April 25th 2019, 00:00:00.000",,"[""Choice Act"",""community care"",""MISSION Act"",""veterans choice""]",FALSE,active
Community Care Billing,www.va.gov/communitycare/revenue_ops/billing.asp,Costs and billing for getting care in the community,"April 29th 2019, 00:00:00.000",,"[""billing""]",FALSE,active
Paying your VA Health Care bill,www.va.gov/HEALTHBENEFITS/cost/make_a_payment.asp,VA offers several ways to pay your VA bill.,"April 29th 2019, 00:00:00.000",,"[""billing"",""make a payment""]",FALSE,active
Airborne Hazards and Open Burn Pit Registry,veteran.mobilehealth.va.gov/AHBurnPitRegistry,VA's Airborne Hazards and Open Burn Pit Registry allows eligible Veterans and service members to document their exposures and report health concerns through an online questionnaire.,"April 29th 2019, 00:00:00.000",,"[""burn pit registry""]",FALSE,active
FOIA Service,www.oprm.va.gov/foia/,"The Freedom of Information Act (FOIA) provides that any person has a right of access to Federal agency records, except to the extent that such records are protected from release by a FOIA exemption or a special law enforcement record exclusion.","August 29th 2019, 00:00:00.000",,"[""FOIA"",""freedom of information""]",FALSE,active
View Your VA Disability Ratings,www.va.gov/disability/view-disability-rating/,"If you have one or more disability ratings, you can view your VA combined disability rating and your individual ratings online.","February 4th 2020, 00:00:00.000",,"[""disability rating"",""rated disabilities""]",FALSE,active
Request a Higher-Level Review,www.va.gov/decision-reviews/higher-level-review/,"If you disagree with VA’s decision, you can request to have a senior reviewer take a new look at your case. The reviewer will determine whether the decision can be changed based on a difference of opinion or an error.","March 1st 2020, 00:00:00.000",,"[""higher level review"",""hlr""]",FALSE,active
VA TMS 2.0,www.tms.va.gov/SecureAuth35/,The VA Talent Management System 2.0 (TMS) website.,"November 8th 2018, 00:00:00.000",,"[""tms"",""va training""]",FALSE,active
VA Nursing - The Office of Nursing Services (ONS),www.va.gov/nursing/,"The Office of Nursing Services (ONS) provides leadership, guidance and strategic direction on all issues related to nursing practice, education, research &amp; workforce for clinical programs across the care delivery sites that impact our Veterans.","November 8th 2018, 00:00:00.000",,"[""nursing""]",FALSE,active
Exposure to Hazardous Chemicals and Materials,www.va.gov/disability/eligibility/hazardous-materials-exposure/,Learn about chemical hazards or other hazardous materials you may have come in contact with during military service. Find out if you can get VA disability compensation for illnesses related to exposure to hazardous chemicals or materials.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Exposure to Specific Environmental Hazards,www.va.gov/disability/eligibility/hazardous-materials-exposure/specific-environmental-hazards/,"Learn about VA disability compensation for illnesses related to environmental hazards. Find out which hazards you may have come in contact with during military service, and how to file a claim for compensation.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Agent Orange Exposure on Thailand Military Bases,www.va.gov/disability/eligibility/hazardous-materials-exposure/agent-orange/thailand-military-bases/,"If you served on a U.S. military base in Thailand or a Royal Thai Air Force Base during the Vietnam War, you may have had contact with Agent Orange.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Birth Defects (Spina Bifida) Linked to Agent Orange,www.va.gov/disability/eligibility/special-claims/birth-defects/,Learn about VA disability compensation and other benefits for children of Veterans with birth defects related to Agent Orange exposure.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Temporary Disability Rating After Surgery or Getting a Cast,www.va.gov/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast/,"Find out if you can get temporary VA disability after surgery for a service-connected disability, or after getting a cast that's left you unable to move.","November 8th 2018, 00:00:00.000",,[],FALSE,active
VA Claim Exam (C&amp;P Exam),www.va.gov/disability/va-claim-exam/,"Get answers to commonly asked questions about the VA claim exam (also called a ""VA C&amp;P exam,"" which stands for ""VA Compensation and Pension exam"").","November 8th 2018, 00:00:00.000",,"[""CMT"",""comp & pen"",""comp and pen""]",FALSE,active
How VA Assigns Disability Ratings,www.va.gov/disability/about-disability-ratings/,Learn about VA disability ratings and how we decide your rating.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
What to Expect after You Get a Disability Rating,www.va.gov/disability/about-disability-ratings/after-you-get-a-rating/,Find out when you'll receive your first VA disability check and what to expect after you get a disability rating for a service-connected condition.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Schedule and View VA Appointments,www.va.gov/health-care/schedule-view-va-appointments/,Find out how to schedule and cancel VA appointments by phone or online.,"November 8th 2018, 00:00:00.000",,"[""appointment"",""make an appointment"",""make appointment"",""schedule an appointment"",""schedule appointment""]",FALSE,active
Depression Treatment for Veterans,www.va.gov/health-care/health-needs-conditions/mental-health/depression/,Depression Treatment for Veterans,"November 8th 2018, 00:00:00.000",,[],FALSE,active
World War II Veterans Health Issues,www.va.gov/health-care/health-needs-conditions/health-issues-related-to-service-era/world-war-ii/,World War II Veterans Health Issues,"November 8th 2018, 00:00:00.000",,"[""world war 2"",""ww2""]",FALSE,active
Iraq War Veterans Health Issues,www.va.gov/health-care/health-needs-conditions/health-issues-related-to-service-era/iraq-war/,Iraq War Veterans Health Issues,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Gulf War Veterans Health Issues,www.va.gov/health-care/health-needs-conditions/health-issues-related-to-service-era/gulf-war/,Gulf War Veterans Health Issues,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Cold War Veterans Health Issues,www.va.gov/health-care/health-needs-conditions/health-issues-related-to-service-era/cold-war/,Cold War Veterans Health Issues,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Health Needs and Conditions,www.va.gov/health-care/health-needs-conditions/,"Find out how to access VA health services for specific health needs of Veterans. Find out which Veterans health issues are covered, and how to get help for your specific needs (like mental health problems, PTSD, and women's health needs).","November 8th 2018, 00:00:00.000",,[],FALSE,active
Where You'll Go for Care,www.va.gov/health-care/about-va-health-benefits/where-you-go-for-care/,"Learn about you'll go for care through VA, including your nearest VA medical center, VA clinic, and Vet Center.","November 8th 2018, 00:00:00.000",,"[""hospitals"",""vet center"",""vet_center""]",FALSE,active
"VA Nursing Homes, Assisted Living, and Home Health Care",www.va.gov/health-care/about-va-health-benefits/long-term-care/,Find out if you may be eligible for care in VA nursing homes or VA assisted living facilities or for Veterans home care and caregiver support services. Learn more about these VA long-term care benefits.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Veterans Pension Rates,www.va.gov/pension/veterans-pension-rates/,Veterans Pension Rates,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Apply for Burial Benefits (VA Form 21P-530),www.va.gov/burials-and-memorials/application/530/introduction/,"Use VA Form 21P-530 to apply for VA burial benefits online now. Get step-by-step instructions, and consider signing in to save your in-progress application if you need to come back to finish filling it out later.","November 8th 2018, 00:00:00.000",,"[""21p"",""form 21p-530""]",FALSE,active
How to Apply for a Veterans Burial Allowance,www.va.gov/burials-memorials/veterans-burial-allowance/,"Find out how to apply for a Veterans burial allowance to help cover burial, funeral, and transportation costs (sometimes called ""Veterans death benefits"").","November 8th 2018, 00:00:00.000",,[],FALSE,active
Eligibility For Burial in a VA National Cemetery,www.va.gov/burials-memorials/eligibility/,"Find out if you or a loved one qualify for burial in a VA national cemetery and for other burial honors. Review VA burial benefits eligibility requirements for Veterans, Servicemembers, spouses, and dependents.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Opt Out of Sharing VA Education Benefits Information,www.va.gov/education/opt-out-information-sharing/,Opt Out of Sharing VA Education Benefits Information,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Check Your Post-9/11 GI Bill Benefits Status,www.va.gov/education/gi-bill/post-9-11/ch-33-benefit/,Check Your Post-9/11 GI Bill Benefits Status,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Dependents Request Change of Program 5495,www.va.gov/education/apply-for-education-benefits/application/5495/introduction/,Dependents Request Change of Program 5495,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Accelerated Payments for High-Technology Programs,www.va.gov/education/about-gi-bill-benefits/how-to-use-benefits/high-tech-programs/,Accelerated Payments for High-Technology Programs,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Entrepreneurship Training,www.va.gov/education/about-gi-bill-benefits/how-to-use-benefits/entrepreneurship-training/,Entrepreneurship Training,"November 8th 2018, 00:00:00.000",,[],FALSE,active
$600 Buy-Up Program,www.va.gov/education/about-gi-bill-benefits/montgomery-active-duty/buy-up/,$600 Buy-Up Program,"November 8th 2018, 00:00:00.000",,[],FALSE,active
CareerScope Assessment,www.va.gov/education/careerscope-skills-assessment/,CareerScope Assessment,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Post-9/11 GI Bill and Other VA Education Benefit Rates,www.va.gov/education/benefit-rates/,Post-9/11 GI Bill and Other VA Education Benefit Rates,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Eligibility Requirements for VA Home Loan Programs,www.va.gov/housing-assistance/home-loans/eligibility/,"Review eligibility requirements for VA home loan programs. Find out if you qualify for a Certificate of Eligibility (COE), which shows your lender that you qualify for a VA-backed home.","November 8th 2018, 00:00:00.000",,"[""loan eligibility""]",FALSE,active
Disability Housing Grants for Veterans,www.va.gov/housing-assistance/disability-housing-grants/,Find out if you're eligible for disability housing grants for Veterans and Servicemembers with certain service-connected disabilities.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Health Topics A to Z,www.va.gov/health/topics/index.asp,"VA health topics index, A - Z.","November 8th 2018, 00:00:00.000",,[],FALSE,active
GI Bill Handouts and Forms,www.benefits.va.gov/gibill/handouts_forms.asp,GI Bill Handouts and Forms,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Detroit Regional Benefit Office,www.benefits.va.gov/detroit/,"477 Michigan Ave. Detroit, MI 48226 Hours: Monday-Friday, 8am-4pm","November 10th 2018, 00:00:00.000",,[],FALSE,active
Compensation Benefit Rates and Rate Tables,www.benefits.va.gov/compensation/rates-index.asp,"Select the compensation program on this page to view current rates. Historical rates are linked from the current rates page, as well.","November 13th 2018, 00:00:00.000",,"[""comp rate"",""compensation rate"",""compensation rate table"",""disability compensation rates"",""disability rates"",""rate table""]",FALSE,active
Flu Shots,www.prevention.va.gov/flu/,Veterans enrolled in VA health care can get a free flu shot at a VA health care facility.,"August 13th 2020, 00:00:00.000",,"[""flu"",""flu shot"",""flu shots"",""influenza""]",FALSE,active
Edith Nourse Rogers STEM Scholarship,www.va.gov/education/other-va-education-benefits/stem-scholarship/,The Rogers STEM Scholarship allows some eligible Veterans and dependents in high-demand fields to extend their Post-9/11 GI Bill or Fry Scholarship benefits. Find out if you’re eligible for added benefits and how to apply.,"October 6th 2020, 00:00:00.000",,"[""edith nourse rogers"",""gi bill extension"",""STEM""]",FALSE,active
Defense Enrollment Eligibility Reporting System (DEERS),www.ebenefits.va.gov/ebenefits/about/feature?feature=servicemember-personnel-information,"Update your contact information in this official DoD military system for Veterans, Service members, and families. DEERS registration is needed for VA/DoD eBenefits registration.","December 30th 2020, 00:00:00.000",,"[""deer"",""deers"",""DEERS"",""defense enrollment eligibility""]",FALSE,active
VA Community Care Healthshare Referral Manager (HSRM),www.va.gov/COMMUNITYCARE/providers/Care_Coordination.asp,"HealthShare Referral Manager (HSRM) is a secure, web-based system VA uses to generate and submit referrals and authorizations to community providers. HSRM allows community providers and VA to better manage community care for Veterans.","December 30th 2020, 00:00:00.000",,"[""hsrm"",""HSRM"",""HSRM tracker"",""HSRM-tracker""]",FALSE,active
Upload Evidence to Support Your Claim,www.va.gov/disability/upload-supporting-evidence/,"Find out how and when to upload evidence online to support your VA claim. Evidence may include supporting documents like medical test results, doctors reports, and other records.","November 8th 2018, 00:00:00.000",,"[""21-4138"",""statement in support of claim"",""va form 21-4138"",""va form21-4138"",""form 21-4138""]",FALSE,active
Yellow Ribbon Program,www.va.gov/education/about-gi-bill-benefits/post-9-11/yellow-ribbon-program/,"The Yellow Ribbon Program can help you pay for higher out-of-state, private school, or graduate school tuition that the Post-9/11 GI Bill does not cover. Find out if you're eligible, and if your school takes part in this program.","November 8th 2018, 00:00:00.000",,"[""yellow ribbon""]",FALSE,active
COVID-19 vaccines at VA,www.va.gov/covid-19-vaccine,We're working closely with the Centers for Disease Control and Prevention (CDC) and other federal partners to plan for providing COVID-19 vaccines to VA health care personnel and Veterans.,"December 11th 2020, 00:00:00.000",,"[""coronavirus"",""coronavirus 19 vaccine"",""coronavirus vaccine"",""COVID 19 vaccine"",""covid vaccine"",""informed"",""keep me"",""keep me informed"",""vaccine""]",FALSE,active
Request Your Military Service Records (including DD214),www.va.gov/records/get-military-service-records/,"Find out how to request your military records, including your DD214, through the milConnect website.","November 8th 2018, 00:00:00.000",,"[""dd 214"",""dd-214"",""dd214"",""214"",""form dd214"",""va form dd214"",""va form dd-214""]",FALSE,active
My VA,www.va.gov/my-va/,Login to VA.gov to access the tools and information you’ll need to track and manage your VA benefits and communications.,"February 21st 2019, 00:00:00.000",,[],FALSE,active
Office of Budget,www.va.gov/budget/products.asp,"The Office of Budget supports VA’s mission by managing the strategic and policy decision making processes in the formulation, execution, analysis, justification, and preparation of the Department’s budget.","April 11th 2019, 00:00:00.000",,"[""budget"",""budget request"",""cj"",""congressional justification""]",FALSE,active
VA Home Page,www.va.gov/,"Explore, access, and manage your VA benefits and health care.","April 29th 2019, 00:00:00.000",,"[""benefits""]",FALSE,active
VA Public Health - Agent Orange,www.publichealth.va.gov/exposures/agentorange/,"This is the home page of VA's Agent Orange website with links to information on Agent Orange exposure, related health effects, health care and other VA benefits.","November 7th 2018, 00:00:00.000",,[],FALSE,active
Agent Orange Exposure from Testing and Storage Areas outside Vietnam,www.va.gov/disability/eligibility/hazardous-materials-exposure/agent-orange/testing-storage-areas/,"If you were part of testing or storing Agent Orange on military bases in the U.S. or elsewhere, you may have been exposed to this toxic chemical. Find out if you're eligible for VA disability pay and other benefits for illnesses related to contact.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Veterans Asbestos Exposure,www.va.gov/disability/eligibility/hazardous-materials-exposure/asbestos/,"Find out if you can get VA disability pay for illnesses related to asbestos exposure. You may have had contact with asbestos if you served in Iraq or other countries in the Middle East and Southeast Asia, or if you worked in certain jobs or settings.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Health Issues Related to Camp Lejeune Water Contamination,www.va.gov/disability/eligibility/hazardous-materials-exposure/camp-lejeune-water-contamination/,Find out if you can get VA disability pay and other benefits for illnesses related to Camp Lejeune water contamination. Learn how to file Camp Lejeune water contamination claims for Veterans or family members.,"November 8th 2018, 00:00:00.000",,"[""camp lejune"",""lejune""]",FALSE,active
VA Decision Ready Claims (DRC) Program,www.va.gov/disability/how-to-file-claim/evidence-needed/decision-ready-claims/,Find out if you can use the VA Decision Ready Claims (DRC) program to get a decision on your VA disability claim in 30 days or less. The DRC program is the fastest way to get your VA claim processed.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Standard Disability Claims,www.va.gov/disability/how-to-file-claim/evidence-needed/standard-claims/,Filing for VA disability compensation and don't have all your evidence (supporting documents)? Learn about the VA standard claim processing procedures.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
File Supplemental Forms for Special Claims,www.va.gov/disability/how-to-file-claim/supplemental-forms/,Find out if you'll need to turn in any supplemental forms when you file your VA disability claim.,"November 8th 2018, 00:00:00.000",,[],FALSE,active
Manage a legacy VA appeal,www.va.gov/disability/file-an-appeal/,"Learn about the legacy VA appeals process for VA claim decisions dated before February 19, 2019.","November 8th 2018, 00:00:00.000",,[],FALSE,active
Update Your VA Health Benefits Information (Form 10-10EZR),www.va.gov/health-care/update-health-information/,Update your health information.,"November 8th 2018, 00:00:00.000",,"[""10 10 ezr"",""1010ezr""]",FALSE,active
VA Secure Messaging,www.va.gov/health-care/secure-messaging/,"Use VA Secure Messaging to communicate online with your VA health care team. Our My HealtheVet Secure Messaging tool keeps your messages safe, private, and secure.","November 8th 2018, 00:00:00.000",,[],FALSE,active
How to Apply for VA Health Care,www.va.gov/health-care/how-to-apply/,"Find out what documents you'll need to apply for VA health care benefits. Get instructions for completing your VA health care enrollment online or by phone, fax, or mail.","November 8th 2018, 00:00:00.000",,"[""apply"",""how do i apply"",""how do i sign up"",""sign up""]",FALSE,active
Posttraumatic Stress Disorder (PTSD) Treatment,www.va.gov/health-care/health-needs-conditions/mental-health/ptsd/,Posttraumatic Stress Disorder (PTSD) Treatment,"November 8th 2018, 00:00:00.000",,"[""ptsd""]",FALSE,active
Eligibility for VA Health Care,www.va.gov/health-care/eligibility/,"Review VA health care eligibility criteria. Find out who qualifies for VA medical care, how VA priority groups may affect you, and how to apply.","November 8th 2018, 00:00:00.000",,"[""eligibility"",""health care eligibility""]",FALSE,active
Apply for VA Health Care Online (VA Form 10-10EZ),www.va.gov/health-care/apply/application/introduction,Complete your VA Form 10-10EZ online to submit your VA health care application now. Get step-by-step instructions and sign in to save your in-progress application.,"November 8th 2018, 00:00:00.000",,"[""10 10 ez"",""1010ez"",""form 1010ez"",""health care application""]",FALSE,active
Your VA Primary Care Provider and PACT Team,www.va.gov/health-care/about-va-health-benefits/your-care-team/,Learn about your VA primary care provider and other health care providers on your VA PACT team (patient aligned care team). Find out how to change your VA primary care provider and how to schedule an appointment.,"November 8th 2018, 00:00:00.000",,"[""pcp""]",FALSE,active
Eligibility for VA Pension benefits,www.va.gov/pension/eligibility/,"Find out if you're eligible for a Veterans pension based on income limits, your service history, and your current situation. Review VA non-service-connected pension eligibility requirements and learn more about how to apply.","November 8th 2018, 00:00:00.000",,"[""pension eligibility""]",FALSE,active
Aid and Attendance or Housebound Allowance,www.va.gov/pension/aid-attendance-housebound/,Find out if you're eligible and how to apply for VA Aid and Attendance or Housebound benefits for Veterans and surviving spouses.,"November 8th 2018, 00:00:00.000",,"[""a&a"",""aid and attendance"",""household allowance""]",FALSE,active
"Plan a Burial for a Veteran, Spouse, or Dependent Family Member",www.va.gov/burials-memorials/plan-a-burial/,"Plan a Burial for a Veteran, Spouse, or Dependent Family Member","November 8th 2018, 00:00:00.000",,[],FALSE,active
"Honor a Veteran, Reservist, or Family Member with Memorial Items",www.va.gov/burials-memorials/memorial-items/,"Honor a Veteran, Reservist, or Family Member with Memorial Items","November 8th 2018, 00:00:00.000",,[],FALSE,active
Compensation Benefits for Surviving Spouse and Dependents (VA DIC),www.va.gov/burials-memorials/dependency-indemnity-compensation/,Find out how to apply for VA Dependent and Indemnity Compensation (VA DIC).,"November 8th 2018, 00:00:00.000",,"[""Dependent and Indemnity Compensation"",""DIC"",""VA DIC""]",FALSE,active
