Issue key,Issue id,Issue Type,Summary,Created,Updated,Component/s,Component/s,Component/s,Assignee
SA-101053,428619,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) -  Direct Deposit,Oct/16/24 7:53 AM,Oct/16/24 9:16 AM,MyEducationBenefits,N33Automation,,
SA-100584,424991,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapter 35 & Fry) - Application Instructions Page,Oct/08/24 3:28 PM,Oct/08/24 3:33 PM,MyEducationBenefits,N33Automation,,
SA-100587,425029,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 Fry Spouse - Veteran/Service Member Info,Oct/08/24 3:59 PM,Oct/09/24 2:57 PM,MyEducationBenefits,N33Automation,,
SA-100704,425656,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 Fry Child - Veteran/Service Member Info,Oct/09/24 2:57 PM,Oct/09/24 2:59 PM,MyEducationBenefits,N33Automation,,
SA-100586,425028,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapter 35 Spouse) - Veteran/Service Member Info,Oct/08/24 3:59 PM,Oct/09/24 2:55 PM,MyEducationBenefits,N33Automation,,
SA-100888,427562,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) -  Applicant's Preferred Contact Method,Oct/12/24 1:55 PM,Oct/16/24 7:53 AM,MyEducationBenefits,N33Automation,,
SA-100883,427557,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) - Contact Information _New Applicant,Oct/12/24 1:10 PM,Oct/12/24 1:13 PM,MyEducationBenefits,N33Automation,,
SA-100884,427558,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) - Contact Information _Previously Entered,Oct/12/24 1:13 PM,Oct/12/24 1:19 PM,MyEducationBenefits,N33Automation,,
SA-100703,425638,Test,CLONE - Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapter 35 Child) - Veteran/Service Member Info,Oct/09/24 2:55 PM,Oct/09/24 2:55 PM,MyEducationBenefits,N33Automation,,
SA-100885,427559,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) - Mailing Address_Foreign box checked,Oct/12/24 1:19 PM,Oct/12/24 1:42 PM,MyEducationBenefits,N33Automation,,
SA-100886,427560,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) - Mailing Address_Foreign box unchecked,Oct/12/24 1:42 PM,Oct/12/24 1:49 PM,MyEducationBenefits,N33Automation,,
SA-100891,427565,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) -  Applicant's Preferred Contact Method_no number provided,Oct/12/24 2:41 PM,Oct/12/24 2:43 PM,MyEducationBenefits,N33Automation,,
SA-100889,427563,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) -  Applicant's Preferred Contact Method_I don't want,Oct/12/24 2:12 PM,Oct/12/24 2:29 PM,MyEducationBenefits,N33Automation,,
SA-100890,427564,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) -  Applicant's Preferred Contact Method_valid U.S. based number,Oct/12/24 2:29 PM,Oct/12/24 2:41 PM,MyEducationBenefits,N33Automation,,
SA-100887,427561,Test,Test REQ: MEB - Original Claims - 1/Intake - MEB 5490 (Chapters 35 & Fry) - Mailing Address_Foreign box unchecked_Foreign Country Present,Oct/12/24 1:49 PM,Oct/12/24 1:55 PM,MyEducationBenefits,N33Automation,,
