"As a Veteran, I need to...",Complexity,Design Notes,Tech Notes,Business Process Notes,User Value,MVP Scope?
"specify what the document is that I'm uploading, so VA can find and process it more quickly.",,"Right now that metadata isn't trustworhty so VA doesn't use it that much, could we impact this enough though by providing good metadata that it would become highly useful? It only has the chance to become useful, if we start capturing it day one.","For an example of this, see claims status document upload. In some cases, there is a specific ""file request"" which presumably gets uploaded with specific VBMS eFolder tags. We can likely follow suit here, but need to know the universe of tag names that a user might want to attach to the file.

Product discovery needed around what the possible tags are, which ones would be exposed to an end-user, how to translate between tags and plain-language descriptions of them. ",,Medium,TBD
 ,,,,,Low,
"have the option to coordinate what date/time might be good for an exam, so it gets scheduled on a day that works for me.",High,Need usability testing to determine whether users find this feature useful.,"CSRA noted this was the least feasible of all parts of automating a DRC claim for increase (so presumably the same applies to a vanilla increase).

We discussed a low-tech solution of simply uploading this information to a file somewhere and trying to effect some process change where the VA staff ordering the exam might use that information.

Unclear how to go about doing additional technical discovery without using too much of CSRA's time","Multiple vendors who might not be amenable to receiving Veteran preference info, since they right now go off of algorithms for blind scheduling. Maybe they don't want to get dinged for things they can't optimize for.",Medium,Probably no
"understand whether I need a medical exam for my claim for increase, so I can take the path that's most direct or easiest for me to finish my claim.",,"Probably don't need to even have a step for requesting an exam, since regardless, VA is going to decide whether the person needs one or not.",,,Low,
"have the option to request that VA schedule a medical exam for me, so a doctor can determine whether my condition has increased in severity and can submit the appropriate documentation for VA to rate my claim.",,"Probably don't need to even have a step for requesting an exam, since regardless, VA is going to decide whether the person needs one or not.",,,Low,
"have the option to upload one or more DBQs from my personal doctor if I've already had my medical exam done outside of VA, so VA will have the appropriate documentation to rate my claim.",,"Users can ask VA to get this instead, and also this accounts for very few submissions. Most ppl go through C&P.",,,Low,
"understand if there are other actions I could take that might be beneficial to me before I submit, so I can get the most out of the benefits I've earned.","Depends how many paths, and which paths we do","Doing dependents, for example, now is better than next month bc there's no ITF, but the back-pay goes back to when you submit it.

Dependents: high
Unemployability: high
Aid & Attendants: high

Specially adapted housing: medium
Auto allowance: medium","RBPS for adding a dependent is one of the only fully automated processes at the VA, so would be possibly low-effort on the backend. Also, pensions applications already built much of the front-end questions for this, so low-effor ton front end. , plus FE work is done in pensions.

Another possible solution that doesn't require much engineering: ask additional questions, but ultimately redirect people to eBenefits to finish filling out the form. Not clear this will work with eBenefits given the turbo-tax nature of 526 + ancillary forms. (There may not be a single destination to just do a single ancillary form--need to find this out)

CSRA has already done part of the work for ancillary forms.",,High,
review my application before I submit to make sure it's correct and complete.,,,CSRA has validate option so we can show ppl where there's stuff wrong,,High,
"specifically review and adjust the documents I've attached before I submit, to make I'm making the best case for myself before VA has access to review my documents.",,,"The vets-api document service includes a framework for file handling. including some sort of pipeline, so we could build on that to upload a document to the cloud for storage and later review before subission. No CSRA effort needed here--all done by vets-api",,Medium,
"have the option to save my claim for increase as I enter new information, so that if I close my browser I won't lose what I've done.",,"This is different from editing basic pre-filled info, which does write back to VA database when edited. Whereas other parts of my claim that I might be filling out that get saved in progress, won't be sent to VA until I submit.",Leverage save-in-progress mechanisms,,High,
"to be able to find saved claims for increase that haven't yet been submitted, so I can finish them and submit without having to start over.",,,Leverage save-in-progress load mechanism. ,"Is it possible to have multipe ITFs? If you have 2 claims for increase open for different things, do they have the same ITF? Is it even possible?",High,
be able to start my claim for increase in one system and finish it in another so I don't have to start over if I find myself in a different system.,,"ITF will definitely need to transfer, but the form itself.....?","May need to handle loading a saved claim for increase that was initiated on eBenefits, using an EVSS load mechanism. Files uploaded to eBenefits would also need to be pulled into the vets.gov file staging area.

If the above is out-of-scope, we could provide language explaining that claims begun on eBenefits are not available here and provide a link to visit eBenefits to look for other in-progress claims. And require users to download any files they uploaded there and re-upload to vets.gov :(",Can we get numbers to help us determine how valuable this would be?,Low,
"submit my claim for increase once it's done, so that VA can process and rate it.",,,CSRA will build the 526 validate/submit service,,High,
"have confidence that my claim has made it to VA and is being looked at, so that I don't worry needlessly or submit duplicate applications or file unnecessary appeals.",,Needs design/solution before we can research technical complexity,Related to notifications story. Not clear what technical work is needed here,,High,
"receive a notification when a rating decision has been made, so I don't have to wait for the mail to arrive.",,,"Alex mentioned an email notification API being built by VBA--investigate whether this is something that would be ready and appropriate for us to use.  Should also talk with other vets.gov teams working on notifications for when a form is submitted on the backend (which is not always immediately after the user hits submit).

Claims status tool already shows when a rating decision has been made (though it doesn't surface the rating). Discovery needed on how we might poll for this decision to be available in order to proactively send a notification about it (vs. only showing it when a user logs in to check status)",,High,
"be able to opt in and out of notifications, so I don't receive unwanted communications.",,,,Verify business requirements,High,
"be able to see prior documents I had uploaded with my original claim, so I can make the best possible case.",,,"Part of eFolder phase 2, which stakeholders are interested in building in order to expose more of a Veternan's eFolder.

Consider leveraging caseflow's eFolder express to pull the VBMS files that a Veteran is able to view, although it may require some changes to authentication and authorization: https://github.com/department-of-veterans-affairs/caseflow-efolder/",,Low,
"be able to see documents that VA or DOD already has about me, so I can more easily compile my evidence.",,,"Same as above, except now for other types of documents in user's VBMS eFolder.",,Low,
have the option to ask VA to find my VHA medical record evidence so that I don't have to go through the trouble of finding and uploading it.,,,,"There's a different process for this if it's private vs VHA records. Private = 4142, Public = VA just goes into CAPRI.",High,
see the medical records that VA retrieved for me before I submit so I can be sure I want to submit them.,,,,"Probably not possible bc claim development is done after submit. But the user would  be able to see these docs (I think) via Claim Status when VA gets them.

Also, if by ""retrieved"" we mean ""pulled from some system and added to the Veterans' eFodler"" then there is the issue that the claims developer is required to look at *all* of the Veteran's eFolder (undoable as that sounds) when making a decision. So this story may not be possible given those business requirements",Medium,
