Condition_ID, Condition_TXT
4030, "Lymphomas"
4040, "Lymphosarcoma"
4050, "Major depression"
4060, "Malaria"
4070, "Malignancy"
4080, "Malignant leiomyblastoma"
4090, "Malignant neoplasm"
4100, "Malignant tumor(s)"
4110, "Malnutrition"
4120, "Manic-depressive reaction"
4130, "Mastoiditis"
4140, "Melanocarcinoma"
4150, "Melanoepithelioma"
4160, "Melanoma"
4170, "Malignant melanoma"
4180, "Melanosarcoma"
4190, "Melanoscirrhus"
4200, "Memory loss"
4210, "Meniere's disease"
4220, "Menstrual disorders"
4230, "Mental disease"
4240, "Mental disorder"
4250, "Mesenchymoma"
4260, "Mesonephroma"
4270, "Mesotheliomas of peritoneum"
4280, "Mesotheliomas of pleura"
4290, "Metritis"
4300, "Migraine"
4310, "Morton's disease"
4320, "Mouth condition"
4330, "Multiple Sclerosis"
4340, "Muscle atrophy"
4350, "Muscle condition"
4360, "Muscle injury"
4370, "Muscle pain"
4380, "Musculoskeletal condition"
4390, "Myasthenia gravis"
4400, "Mycosis fungoides"
4410, "Myelitis (spinal cord condition)"
4420, "Myeloma"
4430, "Multiple myeloma"
4440, "Myocardial infarction (MI)"
4450, "Myocarditis"
4460,	Myositis
4470, "Myxosarcoma"
4480, "Nausea"
4490, "Neck condition"
4500, "Neck sprain"
4510, "Neck strain"
4520, "Benign neoplasm(s)"
4530, "Malignant neoplasm(s)"
4540, "Nephritis"
4550, "Nerve damage"
4560, "Nerve deafness"
4570, "Nerves"
4580, "Nervous system disease"
4590, "Nervousness"
4600, "Neuralgia"
4610, "Neuritis"
4620, "Neurologic signs or symptoms"
4630, "Neurological disorder"
4640, "Peripheral neuropathy"
4650, "Neuropsychological signs or symptoms"
4660, "New growths, malignant"
4670, "Niacin deficiency"
4680, "Non-Hodgkin's lymphoma (NHL)"
4690, "Non-specific digestive complaints"
4700, "Non-specific ear condition"
4710, "Non-specific genitourinary complaints"
4720, "Non-specific gynecological complaints"
4730, "Non-specific nervous complaints"
4740, "Non-specific neurological complaints"
4750, "Non-specific orthopedic claims"
4760, "Non-specific respiratory condition"
4770, "Nose condition"
4780, "Nutritional deficiency"
4790, "OBS (Organic brain syndrome)"
4800, "Onchocerciasis"
4810, "Oophoritis"
4820, "Optic atrophy associated with malnutrition"
4830, "Organic brain syndrome"
4840, "Organic diseases of the nervous system"
4850, "Organic heart disease"
4860, "Oroya fever"
4870, "Orthopedic condition"
4880, "Osgood Schlatter disease"
4890, "Osteitis deformans (Paget's disease)"
4900, "Osteoarthritis, post-traumatic"
4910, "Osteomalacia"
4920, "Otitis externa"
5000, "Otitis media"
5010, "Otosclerosis"
5020, "Ovarian condition, bilateral"
5030, "Ovary (disease, injury, or adhesions)"
5040, "Removal of ovary"
5050, "Painful joints"
5060, "Palsy"
5070, "Bulbar Palsy"
5080, "Pancreatitis"
5090, "Paralysis"
5100, "Paralysis agitans"
5110, "Nerve paralysis"
5120, "Paranoid reaction"
5130, "Parasites"
5140, "Parathyroid adenoma"
5150, "Parenchymal lung disease"
5160, "Parkinson’s disease"
5170, "Pellagra"
5180, "Penile condition"
5190, "Peptic ulcer disease"
5200, "Pericarditis"
5210, "Periodontal disease (pyorrhea)"
5220, "Periostitis"
5230, "Peripheral neuropathy"
5240, "Peripheral neuropathy, acute and subacute"
5250, "Peripheral vascular disease"
5260, "Peritonitis"
5270, "Personality disorder"
5280, "Petit mal epilepsy"
5290, "Pharyngeal condition"
5300, "Phlebitis"
5310, "Phobias"
5320, "Pinta"
5330, "Plague"
5340, "Plantar fasciitis"
5350, "Pleural effusions"
5360, "Pleural plaques"
5370, "Pleurisy"
5380, "Pneumocystis carini pneumonia"
5390, "Pneumonia"
5400, "Polymyositis"
5410, "Porphyria cutanea tarda (PCT) (skin condition)"
5420, "PTSD (posttraumatic stress disorder)"
5430, "Posterior subcapsular cataracts"
5440, "Surgical complications of pregnancy"
5450, "Primary anemia"
5460, "Progressive muscular atrophy"
5470, "Prostate gland (injuries, infections, or hypertrophy)"
5480, "Psoriasis"
5490, "Psychomotor epilepsy"
5500, "Psychophysiological disorder"
5510, "Psychoses"
5520, "Psychosis"
5530, "Psychotic depressive reaction"
5540, "Psychotic reaction"
5550, "Purpura idiopathic, hemorrhagic"
5560, "Raynaud’s disease"
5570, "Rectal bleeding"
5580, "Removal of kidneys"
5590, "Renal disease"
5600, "Renal failure"
5610, "Respiratory complaints"
5620, "Reticulum cell sarcoma"
5630,	Detachment of retina
5640, "Retina (scars, atrophy, or irregularities)"
5650, "Retinitis"
5660, "Rheumatic fever"
5670, "Rheumatic heart disease"
5680, "Rheumatism"
5690, "Rhinitis"
5700, "Rib(s)"
5710, "Ringing in ears"
5720, "Thickened saliva"
5730, "Salpingitis"
5740, "Sarcoidosis"
5750, "Sarcoma"
5760, "Reticulum cell sarcoma"
5770, "Soft-tissue sarcoma"
5780, "Soft-tissue sarcoma, adult fibrosarcom"
5790, "Soft-tissue sarcoma, alveolar soft part sarcoma"
5800, "Soft-tissue sarcoma, angiosarcoma"
5810, "Soft-tissue sarcoma, chondrosarcoma"
5820, "Soft-tissue sarcoma, clear cell, of tendons and aponeuroses"
5830, "Soft-tissue sarcoma, congenital fibrosarcoma"
5840, "Soft-tissue sarcoma, dermatofibrosarcoma protuberans"
5850, "Soft-tissue sarcoma, ectomesenchymoma"
5860, "Soft-tissue sarcoma, epithelioid leiomyosarcoma"
5870, "Soft-tissue sarcoma, epithelioid sarcoma"
5880, "Soft-tissue sarcoma, extraskeletal Ewing’s sarcoma"
5890, "Soft-tissue sarcoma, fibrosarcoma"
5900, "Soft-tissue sarcoma, hemangiosarcoma"
5910, "Soft-tissue sarcoma, infantile fibrosarcoma"
5920, "Soft-tissue sarcoma, Kaposi’s sarcoma"
5930, "Soft-tissue sarcoma, leiomyosarcoma"
5940, "Soft-tissue sarcoma, liposarcoma"
5950, "Soft-tissue sarcoma, lymphangiosarcoma"
5960, "Soft-tissue sarcoma, malignant fibrous histiocytoma"
5970, "Soft-tissue sarcoma, malignant ganglioneuroma"
5980, "Soft-tissue sarcoma, malignant glomus tumor"
5990, "Soft-tissue sarcoma, malignant granular cell tumor"
6000, "Soft-tissue sarcoma, malignant hemangiopericytoma"
6010, "Soft-tissue sarcoma, malignant leiomyoblastoma"
6020, "Soft-tissue sarcoma, malignant mesenchymoma"
6030, "Soft-tissue sarcoma, malignant schwannoma"
6040, "Soft-tissue sarcoma, malignant Triton tumor"
6050, "Soft-tissue sarcoma, mesothelioma"
6060, "Soft-tissue sarcoma, osteosarcoma"
6070, "Soft-tissue sarcoma, proliferating angioendotheliomatosis"
6080, "Soft-tissue sarcoma, rhabdomyosarcoma"
6090, "Soft-tissue sarcoma, synovial sarcoma"
6100, "Soft-tissue sarcoma, synovioma, malignant"
6110, "Soft-tissue sarcoma, malignant giant cell tumor/tendon sheath"
6120, "Scapula"
6130, "Scar formation"
6140, "Scar(s)"
6150, "Scar(s), burns"
6160, "Schistosomiasis"
6170, Schizophrenia
6180, "Schwannoma, epitheloid (malignant)"
6190, "Schwannoma, glandular (malignant)"
6200, "Schwannoma, malignant with rhabdomyoblastic differentiation"
6210, "Scleritis"
6220, "Scleroderma"
6230, "Sebaceous cyst"
6240, "Seizure disorder"
6250, "Seminoma"
6260, "Shell shock"
6270, "Shin splints"
6280, "Shortness of breath"
6290, "Shoulder condition, bilateral"
6300, "Shoulder condition, left"
6310, "Shoulder condition, right"
6320, "Shoulder replacement"
6330, "Shoulder sprain"
6340, "Shoulder strain"
6350, "Sickle cell anemia"
6360, "Signs or symptoms involving cardiovascular system"
6370, "Signs or symptoms involving digestive system"
6380, "Signs or symptoms involving nervous system"
6390, "Signs or symptoms involving respiratory system"
6400, "Signs or symptoms involving skin"
6410, "Sinus condition"
6420, "Sinusitis"
6430, "Skin condition"
6440, "Sleep apnea"
6450, "Sleep disturbances"
6460, "Loss of sense of smell"
6470, "Spine"
6480, "Spleen condition"
6490, "Sprains"
6500, "Sternberg's sarcoma"
6510, "Stomach condition"
6520, "Stone(s)"
6530, "Strains"
6540, "Strep throat"
6550, "Stress"
6560, "Stress disorder"
6570, "Stroke"
6580, "Stump"
6590, "Surgery, residuals"
6600, "Synoviosarcoma"
6610, "Synovitis"
6620, "Syphilis"
6630, "Syringomyelia"
6640, "Systemic lupus"
6650, "Loss of sense of taste"
6660, "Tendinitis"
6670, "Tendonitis"
6680, "Tenosynovitis"
6690, "Testicular condition, bilateral"
6700, "Testicular condition, left"
6710, "Testicular condition, right"
6720, "Thiamine deficiency"
6730, "Thigh condition"
6740, "Thoracic sprain"
6750, "Thoracic strain"
6760, "Throat condition"
6770, "Thromboangiitis, obliterans (Buerger’s disease)"
6780, "Thrombocytopenia"
6790, "Thrombocytopenic purpura"
6800, "Thrombosis, brain"
6810, "Thumb"
6820, "Thyroid condition"
6830, "Thyroid nodular disease, non-malignant"
6840, "Tinea pedis"
6850, "Tinnitus"
6860, "Toe(s)"
6870, "Tongue condition"
6880, "Tooth condition"
6890, "Tuberculosis"
6900, "Tumor(s), malignant glomus"
6910, "Tumor(s), malignant granular cell"
6920, "Tumors, brain"
6930, "Tumors, central nervous system"
6940, "Tumors, malignant"
6950, "Tumors, peripheral nerves"
6960, "Tumors, spinal cord"
6970, "Ulcer condition"
6980, "Gulf War Veteran with undiagnosed illness"
6990, "Unemployability"
7000, "Uterus (disease, injury, or adhesions)"
7010, "Displacement of uterus"
7020, "Uterus (prolapse)"
7030, "Removal of uterus"
7040, "Uveitis"
7050, "Vaginal condition"
7060, "Vaginitis"
7070, "Valvular heart disease"
7080, "Varicose veins"
7090, "Vasectomy"
7100, "Vincent’s stomatitis"
7110, "Vision"
7120, "Visually impaired"
7130, "Vitamin deficiency"
7140, "Voice loss"
7150, "Vulvovaginitis"
7160, "War neurosis"
7170, "Wasting syndrome"
7180, "Worms"
7190, "Wound, bullet"
7200, "Wound, shell fragment"
7210, "Wrist condition, bilateral"
7220, "Wrist condition, left"
7230, "Wrist condition, right"
7240, "Wrist sprain"
7250, "Wrist strain"
7260, "Yaws"
7270, "Yellow fever"
7280, "Hepatitis B"
7290, "PTSD, personal trauma"
7300, "Hepatitis C"
100, "Addison's disease"
3350, "Ventral hernia"
2065, "Adult-onset diabetes"
2085, "Type 2 diabetes mellitus"
3035, "Gulf War Veteran, with diagnosed illness as qualifying chronic disability"
530, "ASHD (Arteriosclerotic heart disease)"
8917, "Miscellaneous"
8918, "Hip replacement"
8919, "Knee replacement"
109,2010 Presumptive Herbicide Condition
111,2010 Presumptive Herbicide Condition
8920, "Adhesions–Digestive"
8921, "Adhesions–Gynecological"
8922, "Adhesions–Heart, Veins, Arteries"
8923, "Adhesions–Neurological Other System"
8924, "Adhesions–Respiratory"
8925, "Administrative Issue"
8926, "Aneurysm–Heart, Veins, Arteries"
8927, "Aneurysm–Neurological Other System"
8928, "Arm Condition–Heart, Veins, Arteries"
8929, "Arm Condition–Neurological Other System"
8930, "Caisson"
8931, "Cancer–Dental and Oral"
8932, "Cancer–Digestive"
8933, "Cancer–Endocrine"
8934, "Cancer–Eye (vision)"
8935, "Cancer–Genitourinary"
8937, "Cancer–Gynecological"
8938, "Cancer–Heart, Veins, Arteries"
8939, "Cancer–Hemic and Lymphatic"
8940, "Cancer–Musculoskeletal, Other"
8941, "Cancer–Musculoskeletal and Muscle Injuries"
8942, "Cancer–Neurological Other System"
8943, "Cold injury residuals"
8944, "Competency"
8945, "Cyst/Benign Growth–Dental and Oral"
8946, "Cyst/Benign Growth–Digestive"
8947, "Cyst/Benign Growth–Ear Disease and Other Sense Organs"
8948, "Cyst/Benign Growth–Endocrine"
8949, "Cyst/Benign Growth–Eye (vision)"
8950, "Cyst/Benign Growth–Genitourinary"
8951, "Cyst/Benign Growth–Gynecological"
8952, "Cyst/Benign Growth–Musculoskeletal, Ankle"
8953, "Cyst/Benign Growth–Musculoskeletal, Elbow"
8954, "Cyst/Benign Growth–Musculoskeletal, Foot"
8955, "Cyst/Benign Growth–Musculoskeletal, Hand"
8956, "Cyst/Benign Growth–Musculoskeletal, Hip"
8957, "Cyst/Benign Growth–Musculoskeletal, Knee"
8958, "Cyst/Benign Growth–Musculoskeletal, Mid/Lower Back (Thoracolumbar Spine)"
8959, "Cyst/Benign Growth–Musculoskeletal, Neck/Upper Back (Cervical Spine)"
8960, "Cyst/Benign Growth–Musculoskeletal, Other"
8961, "Cyst/Benign Growth–Musculoskeletal, Shoulder"
8962, "Cyst/Benign Growth–Musculoskeletal, Wrist"
8963, "Cyst/Benign Growth–Musculoskeletal and Muscle Injuries"
8964, "Cyst/Benign Growth–Neurological Other System"
8965, "Cyst/Benign Growth–Respiratory"
8966, "Cyst/Benign Growth–Skin"
8967, "Dental and Oral"
8968, "Digestive"
8969, "Ear Disease and Other Sense Organs"
8970c, "Eating Disorders"
8971, "Embolism/Infarction–Heart, Veins, Arteries"
8972, "Embolism/Infarction–Neurological Other System"
8973, "Endocrine"
8974, "Eye (vision)"
8975, "Genitourinary"
8976, "Gulf War, with unexplained chronic multisymptom illness"
8977, "Gulf War, undiagnosed illness"
8978, "Gynecological"
8979, "Heart, Veins, Arteries"
8980, "Helpless child"
8981, "Hemic and Lymphatic"
8982, "Hemorrhage–Eye (vision)"
8983, "Hemorrhage–Neurological Other System"
8984, "Herpes–Eye (vision)"
8985, "Herpes–Skin"
8986, "Infectious Diseases, Immune Disorders, and Nutritional Deficiencies"
8987, "Leg Condition–Heart, Veins, Arteries"
8988, "Leg Condition–Neurological Other System"
8989, "Mental Disorders"
8990, "Musculoskeletal–Amputations"
8991, "Musculoskeletal–Ankle"
8992, "Musculoskeletal–Arthritis"
8993, "Musculoskeletal–Elbow"
8995, "Musculoskeletal–Hand"
8996, "Musculoskeletal–Hip"
8997, "Musculoskeletal–Knee"
8998, "Musculoskeletal–Mid/Lower Back (Thoracolumbar Spine)"
8999, "Musculoskeletal–Neck/Upper Back (Cervical Spine)"
9000, "Musculoskeletal–Osteomyelitis"
9001, "Musculoskeletal–Other"
9002, "Musculoskeletal–Shoulder"
9003, "Musculoskeletal–Toe Amputations"
9004, "Musculoskeletal–Wrist"
9005, "Musculoskeletal and Muscle Injuries"
9006, "Neurological–Cranial/Peripheral Nerves"
9007, "Neurological Other System"
9008, "Pension"
9009, "Pension–Aid and Attendance/Housebound"
9010, "Posttraumatic Stress Disorder (PTSD) combat, mental disorders"
9011, "Posttraumatic Stress Disorder (PTSD) personal trauma, mental Disorders"
9012, "Respiratory"
9013, "Scars (Extremities and Trunk)"
9014, "Scars (Head, Face, or Neck)"
9015, "Service-connected death"
9016, "Skin"
9017, "Special Monthly Compensation–Aid and Attendance/Housebound"
9018, "Special Monthly Compensation–Anatomical Loss/Loss of Use"
9019, "Spina Bifida"
9020, "Traumatic brain injury"
9021, "Wound, Bullet, Shell Fragment"
8994, "Musculoskeletal–Foot"
249468, "Cancer–Ear Disease and Other Sense Organs"
249469, "Cancer–Musculoskeletal, Ankle"
249470, "Cancer–Musculoskeletal, Elbow"
249471, "Cancer–Musculoskeletal, Hand"
249472, "Cancer–Musculoskeletal, Foot"
249473, "Cancer–Musculoskeletal, Knee"
249474, "Cancer–Musculoskeletal, Hip"
249475, "Cancer–Musculoskeletal, Mid/Lower Back (Thoracolumbar Spine)"
249476, "Cancer–Musculoskeletal, Neck/Upper Back (Cervical Spine)"
249477, "Cancer–Musculoskeletal, Shoulder"
249478, "Cancer–Musculoskeletal, Wrist"
249479, "Cyst/Benign Growth–Heart, Veins, Arteries"
249480, "Cyst/Benign Growth–Hemic and Lymphatic"
249481, "Dental and Oral–Musculoskeletal"
