CNTNTN_CLSFCN_ID,CNTNTN_CLSFCN_TXT, LAYMAN_DEF
4270,mesotheliomas of peritoneum,
4280,mesotheliomas of pleura,
4290,metritis,inflammation of uterus
4300,migraine,
4310,Morton's disease,
4320,mouth condition,
4330,multiple sclerosis, MS
4340,muscle atrophy, wasting away of muscles
4350,muscle condition,
4360,muscle injury,
4370,muscle pain,
4380,musculoskeletal condition,
4390,myasthenia gravis, autoimmune disease that causes muscle weakness and tiredness
4400,Mycosis fungoides, Alibert-Bazin syndrome or cutaneous T-cell lymphoma
4410,myelitis (a spinal cord condition), inflammation of the spinal cord
4420,myeloma, cancer of the plasma cells
4430,"myeloma, multiple", cancer in the bone marrow
4440,myocardial infarction (MI), heart attack
4450,myocarditis, inflammation of the heart muscle
4460,myositis, inflammation of the muscles
4470,myxosarcoma, malignant heart tumor
4480,nausea,
4490,neck condition,
4500,neck sprain,
4510,neck strain,
4520,"neoplasm(s), benign", abnormal mass of tissue (not cancerous)
4530,"neoplasm(s), malignant", abnormal mass of tissue (cancerous)
4540,nephritis, inflammation of the kidneys
4550,nerve damage,
4560,nerve deafness, hearing loss due to damage to the cochlea 
4580,nervous system disease,
4590,nervousness,
4600,neuralgia, sharp pain from damaged or irritated nerves
4610,neuritis, inflammation of a peripheral nerve 
4620,neurologic signs or symptoms,
4630,neurological disorder,
4640,"neuropathy, peripheral", pain and nerve damage beyond the brain and spine
4650,neuropsychological signs or symptoms,
4660,"new growths, malignant", new growths (cancerous)
4670,niacin deficiency,
4680,Non-Hodgkin's lymphoma (NHL),
4690,non-specific digestive complaints,
4700,non-specific ear condition,
4710,non-specific genitourinary complaints,
4720,non-specific gynecological complaints,
4730,non-specific nervous complaints,
4740,non-specific neurological complaints,
4750,non-specific orthopedic claims,
4760,non-specific respiratory condition,
4770,nose condition,
4780,nutritional deficiency,
4790,OBS, organic brain syndrome
4800,onchocerciasis, river blindness
4810,oophoritis, inflammation of an ovary
4820,optic atrophy associated with malnutrition, vision loss due to malnutrition
4830,organic brain syndrome, neurocognitive disorder
4840,organic diseases of the nervous system,
4850,organic heart disease,
4860,oroya fever, Carrion's disease
4870,orthopedic condition,
4880,Osgood Schlatter disease, knee pain
4890,osteitis deformans (Paget's disease), chronic bone disorder
4900,"osteoarthritis, post-traumatic", trauma causing the cartilage in the joint to wear away
4910,osteomalacia, softening of the bones
4920,otitis externa,swimmer's ear
5000,otitis media, ear pain and inflammation of the middle ear 
5010,otosclerosis,disease of the bones of the middle and inner ear
5020,"ovarian condition, bilateral (both ovaries)", ovarian condition in both ovaries
5030,"ovary (disease, injury, or adhesions of)", disease or injury of the ovary
5040,ovary (removal of), removal of the ovary
5050,painful joints,
5060,palsy,paralysis and involuntary tremors
5070,"palsy, bulbar", problems controlling muscles in the face
5080,pancreatitis,inflammation in the pancreas
5090,paralysis,loss of muscle function in part of your body
5100,paralysis agitans,Parkinson's disease
5110,"paralysis, nerve",
5120,paranoid reaction,gradual formation of delusions
5130,parasites,
5140,parathyroid adenoma,benign tumor of the parathyroid gland
5150,parenchymal lung disease, interstitial lung disease 
5160,Parkinson's disease, tremors or stiffness of movement 
5170,pellagra,dementia diarrhea and dermatitis
5180,penile condition,
5190,peptic ulcer disease, stomach ulcer 
5200,pericarditis,swelling and irritation of the pericardium
5210,periodontal disease (pyorrhea),gum disease
5220,periostitis,shin splints
5230,peripheral neuropathy,damage to the peripheral nerves 
5240,"peripheral neuropathy, acute and subacute", weakness or pain in the hands and feet
5250,peripheral vascular disease, circulatory condition 
5260,peritonitis, inflammation of the peritoneum (membrane that lines the inner abdominal wall and covers the abdominal organs)
5270,personality disorder, mental disorder with unstable moods and behavior 
5280,petit mal epilepsy,Absence seizures with brief sudden lapses of consciousness
5290,pharyngeal condition,throat problems
5300,phlebitis, inflammation of a vein
5310,phobias,an extreme or irrational fear of or aversion to something
5320,pinta,skin disease
5330,plague,
5340,plantar fasciitis, stabbing foot pain or heel pain
5350,pleural effusions, unusual amount of fluid around the lung
5360,pleural plaques, asbestos exposure causing scarring in the lungs
5370,pleurisy, inflammation of the tissue that lines the lung and chest cavity
5380,pneumocystis carini pneumonia, lung infection that can affect people with weakened immune systems
5390,pneumonia,
5400,polymyositis,a rare form of arthritis that causes muscle weakness and pain
5410,porphyria cutanea tarda (PCT) (a skin condition), skin condition with painful blistering lesions
5420,PTSD (posttraumatic stress disorder),
5430,posterior subcapsular cataracts,cataract on the back surface of the lens beneath the lens capsule
5440,"pregnancy, surgical complications of", complications from surgical pregnancy
5450,primary anemia,
5460,progressive muscular atrophy,
5470,"prostate gland (injuries, infections, hypertrophy)",
5480,psoriasis, skin condition that results in scales and itchy dry patches
5490,psychomotor epilepsy,
5500,psychophysiological disorder,
5510,psychoses, 
5520,psychosis, severe mental disorder that results in a disconnection from reality
5530,psychotic depressive reaction, 
5540,psychotic reaction,
5550,"purpura idiopathic, hemorrhagic", autoimmune disease that can lead to easy or excessive bruising and bleeding
5560,Raynaud's disease,
5570,rectal bleeding,
5580,removal of kidneys,
5590,renal disease, kidney disease
5600,renal failure, kidney failure
5610,respiratory complaints,
5620,Reticulum cell sarcoma,
5630,retina (detachment of), detached retina
5640,"retina (scars, atrophy, or irregularities of)", 
5650,retinitis,inflammation of the retina
5660,rheumatic fever,
5670,rheumatic heart disease,
5680,rheumatism, inflammation in the joints
5690,rhinitis, stuffy nose
5710,ringing in ears,
5720,"saliva, thickened",
5730,salpingitis, inflammation of the fallopian tubes
5740,sarcoidosis,
5750,sarcoma, tumor in the bones or soft tissue
5760,"sarcoma, reticulum cell",
5770,"sarcoma, soft-tissue",
5780,"sarcoma, soft-tissue - adult fibrosarcoma",
5790,"sarcoma, soft-tissue - alveolar soft part sarcoma",
5800,"sarcoma, soft-tissue - angiosarcoma",
5810,"sarcoma, soft-tissue - chondrosarcoma",
5820,"sarcoma, soft-tissue - clear cell, of tendons and aponeuroses",
5830,"sarcoma, soft-tissue - congenital fibrosarcoma",
5840,"sarcoma, soft-tissue - dermatofibrosarcoma protuberans",
5850,"sarcoma, soft-tissue - ectomesenchymoma",
5860,"sarcoma, soft-tissue - epithelioid leiomyosarcoma",
5870,"sarcoma, soft-tissue - epithelioid sarcoma",
5880,"sarcoma, soft-tissue - extraskeletal Ewing's sarcoma",
5890,"sarcoma, soft-tissue - fibrosarcoma",
5900,"sarcoma, soft-tissue - hemangiosarcoma",
5910,"sarcoma, soft-tissue - infantile fibrosarcoma",
5920,"sarcoma, soft-tissue - Kaposi's sarcoma",
5930,"sarcoma, soft-tissue - leiomyosarcoma",
5940,"sarcoma, soft-tissue - liposarcoma",
5950,"sarcoma, soft-tissue - lymphangiosarcoma",
5960,"sarcoma, soft-tissue - malignant fibrous histiocytoma",
5970,"sarcoma, soft-tissue - malignant ganglioneuroma",
5980,"sarcoma, soft-tissue - malignant glomus tumor",
5990,"sarcoma, soft-tissue - malignant granular cell tumor",
6000,"sarcoma, soft-tissue - malignant hemangiopericytoma",
6010,"sarcoma, soft-tissue - malignant leiomyoblastoma",
6020,"sarcoma, soft-tissue - malignant mesenchymoma",
6030,"sarcoma, soft-tissue - malignant schwannoma",
6040,"sarcoma, soft-tissue - malignant Triton tumor",
6050,"sarcoma, soft-tissue - mesothelioma",
6060,"sarcoma, soft-tissue - osteosarcoma",
6070,"sarcoma, soft-tissue - proliferating angioendotheliomatosis",
6080,"sarcoma, soft-tissue - rhabdomyosarcoma",
6090,"sarcoma, soft-tissue - synovial sarcoma",
6100,"sarcoma, soft-tissue - synovioma, malignant",
6110,"sarcoma,soft-tissue-malignant giant cell tumor/tendon sheath",
6130,scar formation,
6140,scar(s),
6150,"scar(s), burns",
6160,schistosomiasis, parasitic disease
6170,schizophrenia,
6180,"schwannoma, epitheloid, malignant",
6190,"schwannoma, glandular, malignant",
6200,"schwannoma, malignant with rhabdomyoblastic differentiation",
6210,scleritis, inflammatory eye disease
6220,scleroderma, hardening or tightening of the skin
6230,sebaceous cyst, non-cancerous bump on the skin
6240,seizure disorder,
6250,seminoma,
6260,shell shock,
6270,shin splints,
6280,shortness of breath,
6290,"shoulder condition, bilateral (both shoulders)", shoulder condition of both shoulders
6300,"shoulder condition, left",
6310,"shoulder condition, right",
6320,shoulder replacement,
6330,shoulder sprain,
6340,shoulder strain,
6350,sickle cell anemia,
6360,signs or symptoms involving cardiovascular system,
6370,signs or symptoms involving digestive system,
6380,signs or symptoms involving nervous system,
6390,signs or symptoms involving respiratory system,
6400,signs or symptoms involving skin,
6410,sinus condition,
6420,sinusitis,
6430,skin condition, 
6440,sleep apnea,
6450,sleep disturbances,
6460,"smell, loss of sense of", no sense of smell
6470,spine,
6480,spleen condition,
6490,sprains,
6500,Sternberg's sarcoma,
6510,stomach condition,
6530,strains,
6540,strep throat,
6550,stress,
6560,stress disorder,
6570,stroke,
6590,"surgery, residuals",
6600,synoviosarcoma,
6610,synovitis, inflammation of the synovial membrane
6620,syphilis,
6630,syringomyelia, cyst in the spinal cord
6640,systemic lupus,
6650,"taste, loss of sense of", no sense of taste
6660,tendinitis,
6670,tendonitis,
6680,tenosynovitis,
6690,"testicular condition, bilateral (both testicles)", testicular condition of both testicles
6700,"testicular condition, left", testicular condition left testicle
6710,"testicular condition, right", testicular condition right testicle
6720,thiamine deficiency,
6730,thigh condition,
6740,thoracic sprain, 
6750,thoracic strain,
6760,throat condition,
6770,"thromboangiitis, obliterans (Buerger's disease)",
6780,thrombocytopenia, low blood platelet count
6790,thrombocytopenic purpura,
6800,"thrombosis, brain",
6820,thyroid condition,
6830,"thyroid nodular disease, non-malignant", non-cancerous lump in thyroid
6840,tinea pedis, athlete's foot
6850,tinnitus, ringing in the ears
6870,tongue condition,
6880,tooth condition,
6890,Tuberculosis,
6900,tumor(s) - malignant glomus,
6910,tumor(s) - malignant granular cell,
6920,tumors in brain,
6930,tumors in central nervous system,
6940,tumors - malignant,
6950,tumors in peripheral nerves,
6960,tumors in spinal cord,
6970,ulcer condition,
6980,Gulf War Veteran with undiagnosed illness,
6990,Unemployability,
7000,"uterus (disease, injury, or adhesions of)", disease or injury of the uterus
7010,uterus (displacement of), displaced uterus
7020,uterus (prolapse), uterine prolapse
7030,uterus (removal of),
7040,uveitis, inflammation of middle layer of eye
7050,vaginal condition,
7060,vaginitis,
7070,valvular heart disease,
7080,varicose veins,
7090,vasectomy,
7100,Vincent's stomatitis, trench mouth
7120,visually impaired,
7130,vitamin deficiency,
7140,voice loss,
7150,vulvovaginitis,
7160,war neurosis, combat fatigue
7170,wasting syndrome, ill health and weight and muscle loss
7180,worms, intestinal or parasitic worms
7190,"wound, bullet",
7200,"wound, shell fragment",
7210,"wrist condition, bilateral (both wrists)", wrist condition of both wrists
7220,"wrist condition, left",
7230,"wrist condition, right",
7240,wrist sprain,
7250,wrist strain,
7260,yaws, infectious tropical disease
7270,yellow fever,
7280,hepatitis B,
7290,PTSD personal trauma,
7300,hepatitis C,
100,Addison's disease,
3350,"hernia, ventral",
2065,"diabetes, adult onset", adult-onset diabetes
2085,"diabetes mellitus, type 2", Type 2 diabetes
3035,Gulf War Veteran with diagnosed illness as qualifying chronic disability,
530,ASHD, thickening and hardening of the arteries
8918,hip replacement,
8919,knee replacement,
8920,adhesions - digestive,
8921,adhesions - gynecological,
8922,adhesions - heart/veins/arteries,
8923,adhesions - neurological other system,
8924,adhesions - respiratory,
8926,aneurysm  - heart/veins/arteries,
8927,aneurysm - neurological other system,
8928,arm condition - heart/veins/arteries,
8929,arm condition - neurological other system,
8930,Caisson disease, decompression sickness
8931,cancer - dental and oral,
8932,cancer - digestive,
8933,cancer - endocrine,
8934,cancer - eye (vision),
8935,cancer - genitourinary, cancer of the genitals or urinary organs
8937,cancer - gynecological,
8938,cancer - heart/veins/arteries,
8939,cancer - hemic and lymphatic,
8940,cancer - musculoskeletal - other,
8941,cancer - musculoskeletal and muscle injuries,
8942,cancer - neurological other system,
8943,cold injury residuals,
8945,cyst/benign growth - dental and oral,
8946,cyst/benign growth - digestive,
8947,cyst/benign growth - ear disease and other sense organs,
8948,cyst/benign growth - endocrine,
8949,cyst/benign growth - eye (vision),
8950,cyst/benign growth - genitourinary,cyst/benign growth in the genitals or urinary organs
8951,cyst/benign growth - gynecological,
8952,cyst/benign growth - musculoskeletal - ankle,
8953,cyst/benign growth - musculoskeletal - elbow,
8954,cyst/benign growth - musculoskeletal - foot,
8955,cyst/benign growth - musculoskeletal - hand,
8956,cyst/benign growth - musculoskeletal - hip,
8957,cyst/benign growth - musculoskeletal - knee,
8958,cyst/benign growth - musculoskeletal - mid- or lower back (thoracolumbar spine),
8959,cyst/benign growth - musculoskeletal - neck or upper back (cervical spine),
8960,cyst/benign growth - musculoskeletal - other,
8961,cyst/benign growth - musculoskeletal - shoulder,
8962,cyst/benign growth - musculoskeletal - wrist,
8963,cyst/benign growth - musculoskeletal and muscle injuries,
8964,cyst/benign growth - neurological other system,
8965,cyst/benign growth - respiratory,
8966,cyst/benign growth - skin,
8970,eating disorders,
8971,embolism/infarction - heart/veins/arteries,
8972,embolism/infarction - neurological other system,
8973,endocrine,
8975,genitourinary, genital or urinary organs
8976,Gulf War unexplained chronic multisymptom illness,
8977,Gulf War undiagnosed illness,
8980,child not capable of self-support, disabled child
8982,hemorrhage - eye (vision),
8983,hemorrhage - neurological other system,
8984,herpes - eye (vision),
8985,herpes - skin,
8986,"infectious diseases, immune disorders and nutritional deficiencies",
8987,leg condition - heart/veins/arteries,
8988,leg condition - neurological other system,
8989,mental disorders,
8990,musculoskeletal - amputations,
8991,musculoskeletal - ankle,
8992,musculoskeletal - arthritis,
8993,musculoskeletal - elbow,
8995,musculoskeletal - hand,
8996,musculoskeletal - hip,
8997,musculoskeletal - knee,
8998,musculoskeletal - mid- or lower back (thoracolumbar spine),
8999,musculoskeletal - neck or upper back (cervical spine),
9000,musculoskeletal - osteomyelitis, bone infection
9001,musculoskeletal - other,
9002,musculoskeletal - shoulder,
9003,musculoskeletal - toe amputations,
9004,musculoskeletal - wrist,
9005,musculoskeletal and muscle injuries,
9006,neurological - cranial or peripheral nerves,
9007,neurological other system,
9010,Posttraumatic Stress Disorder (PTSD) combat - mental disorders,
9011,Posttraumatic Stress Disorder (PTSD) personal trauma - mental disorders,
9012,respiratory,
9013,scars (extremities and trunk/torso),
9014,"scars (head, face, neck)",
9015,service-connected death,
9019,Spina bifida,
9020,Traumatic Brain Injury,
9021,"wound, bullet/shell fragment",
8994,musculoskeletal - foot,
249468,cancer - ear disease and other sense organs,
249469,cancer - musculoskeletal - ankle,
249470,cancer - musculoskeletal - elbow,
249471,cancer - musculoskeletal - hand,
249472,cancer - musculoskeletal - foot,
249473,cancer - musculoskeletal - knee,
249474,cancer - musculoskeletal - hip,
249475,cancer - musculoskeletal - mid- or lower back (thoracolumbar spine),
249476,cancer - musculoskeletal - neck or upper back (cervical spine),
249477,cancer - musculoskeletal - shoulder,
249478,cancer - musculoskeletal - wrist,
249479,cyst/benign growth - heart/veins/arteries,
249480,cyst/benign growth - hemic and lymphatic,

