CLMANT_TXT,CNTNTN_CLSFCN_ID,SPECL_ISSUE_TYPE_CD,PERSON_SPECL_STATUS_TYPE_NM,
DIABETES MELLITUS AGENT ORANGE,8973,AOIV,,
BLADDER CANCER AGENT ORANGE,8935,AOIV,,
CORONARY ARTERY DISEASE (AO),8979,AOIV,,
DIABETES MELLITUS-AGENT ORANGE,8973,AOIV,,
DMII (EXPOSURE TO AGENT ORANGE),8973,AOIV,,
PERIPHERAL NEUROPATHY AGENT ORANGE,9006,AOIV,,
SKIN CANCER-AGENT ORANGE,1250,AOIV,,
SKIN CONDITION AGENT ORANGE,9016,AOIV,,
DIABETES DUE TO EXPOSURE TO AGENT ORANGE,8973,AOIV,,
DIABETES MELLITUS TYPE II AGENT ORANGE,8973,AOIV,,
DIABETES-AGENT ORANGE (EXPOSED,8973,AOIV,,
HYPERTENSION (AO),8979,AOIV,,
HEART CONDITION (AO),8979,AOIV,,
HEART CONDITION-AO,8979,AOIV,,
NEUROPATHY AGENT ORANGE,9006,AOIV,,
CORONARY ARTERY DISEASE - AGENT ORANGE,8979,AOIV,,
LUNG CANCER (AO),1230,AOIV,,
PARKINSON'S DISEASE (AGENT ORANGE),9007,AOIV,,
PROSTATE CANCER SECONDARY TO AGENT ORANGE,8935,AOIV,,
ISCHEMIC HEART DISEASE (AGENT ORANGE EXPOSURE),8979,AOIV,,
ISCHEMIC HEART DISEASE- AGENT ORANGE,8979,AOIV,,
PROSTATE CANCER-AO,8935,AOIV,,
CAD DUE TO AGENT ORANGE,8979,AOIV,,
COPD DUE TO AGENT ORANGE,9012,AOIV,,
DIABETES II AGENT ORANGE,8973,AOIV,,
HEART CONDITION-DUE TO AGENT ORANGE,8979,AOIV,,
DIABETES MELLITUS - AO,8973,AOIV,,
DIABETES TYPE II - AGENT ORANGE,8973,AOIV,,
DIABETES-AO,8973,AOIV,,
SKIN CONDITION-AGENT ORANGE,9016,AOIV,,
DIABETES MELLITUS TYPE II-AGENT ORANGE,8973,AOIV,,
ISCHEMIC HEART DISEASE AGENT ORANGE EXPOSURE,8979,AOIV,,
PARKINSON'S DISEASE-AGENT ORANGE,9007,AOIV,,
DIABETES MELLITUS TYPE II - AGENT ORANGE,8973,AOIV,,
HEART DISEASE (AGENT ORANGE),8979,AOIV,,
ISCHEMIC HEART DISEASE - AGENT ORANGE EXPOSURE,8979,AOIV,,
DIABETES SECONDARY TO AGENT ORANGE,8973,AOIV,,
PARKINSON'S DISEASE (AO),9007,AOIV,,
PERIPHERAL NEUROPATHY (AGENT ORANGE),9006,AOIV,,
PROSTATE CANCER (AO EXPOSURE),8935,AOIV,,
BLADDER CANCER-AGENT ORANGE,8935,AOIV,,
HEART CONDITION AO,8979,AOIV,,
HYPERTENSION - AGENT ORANGE,8979,AOIV,,
SKIN CANCER (AO),1250,AOIV,,
SKIN CONDITION-DUE TO AGENT ORANGE,9016,AOIV,,
TYPE II DIABETES DUE TO AGENT ORANGE EXPOSURE,8973,AOIV,,
DIABETES AGENT ORANGE VIETNAM,8973,AOIV,,
HEART CONDITION AGENT ORANGE EXPOSURE,8979,AOIV,,
ISCHEMIC HEART AGENT ORANGE,8979,AOIV,,
NEUROPATHY-AGENT ORANGE,9006,AOIV,,
SKIN CONDITION DUE TO AO,9016,AOIV,,
AO - HEART CONDITION,8979,AOIV,,
CANCER AGENT ORANGE,8925,AOIV,,
DIABETES II-AGENT ORANGE,8973,AOIV,,
DIABETES MELLITUS II (AGENT ORANGE),8973,AOIV,,
DIABETES MELLITUS TYPE II (AGENT ORANGE),8973,AOIV,,
ISCHEMIC HEART DISEASE - AO,8979,AOIV,,
LUNG CANCER DUE TO AO,1230,AOIV,,
MULTIPLE MYELOMA-AGENT ORANGE,8939,AOIV,,
COPD AGENT ORANGE,9012,AOIV,,
DIABETES MELLITUS TYPE II (AO),8973,AOIV,,
DIABETES TYPE 2-AGENT ORANGE,8973,AOIV,,
DIABETES TYPE II AGENT ORANGE EXPOSURE,8973,AOIV,,
PROSTRATE CANCER AGENT ORANGE,8935,AOIV,,
DIABETES TYPE 2 - AGENT ORANGE,8973,AOIV,,
IHD DUE TO AGENT ORANGE EXPOSURE,8979,AOIV,,
PROSTATE CANCER-AO EXPOSURE,8935,AOIV,,
HEART CONDITION (AO EXPOSURE),8979,AOIV,,
ISCHEMIC HEART DISEASE-AGENT ORANGE EXPOSURE,8979,AOIV,,
COPD-AGENT ORANGE,9012,AOIV,,
DIABETES MELLITUS TYPE 2 (AGENT ORANGE),8973,AOIV,,
HEART CONDITION DUE TO A/O EXPOSURE,8979,AOIV,,
PROSTATE CANCER -AGENT ORANGE,8935,AOIV,,
PROSTRATE CANCER-AGENT ORANGE,8935,AOIV,,
DIABETES MELLITUS II DUE TO AO,8973,AOIV,,
DIABETES TYPE 2 (AGENT ORANGE),8973,AOIV,,
DIABETES TYPE II (AO),8973,AOIV,,
DM II (AO),8973,AOIV,,
HEART CONDITION - AO,8979,AOIV,,
HYPERTENSION DUE TO AO,8979,AOIV,,
HYPERTENSION DUE TO EXPOSURE TO AGENT ORANGE,8979,AOIV,,
PROSTATE CANCER AO EXPOSURE,8935,AOIV,,
PROSTATE CANCER-DUE TO AOE,8935,AOIV,,
AGENT ORANGE - DIABETES,8973,AOIV,,
COPD (AGENT ORANGE),9012,AOIV,,
DIABETES TYPE II DUE TO AO EXPOSURE,8973,AOIV,,
HEART CONDITION DUE TO EXPOSURE TO AGENT ORANGE,8979,AOIV,,
ISCHEMIC HEART DISEASE (AO EXPOSURE),8979,AOIV,,
AGENT ORANGE DIABETES,8973,AOIV,,
CANCER-AGENT ORANGE,8925,AOIV,,
CORONARY ARTERY DISEASE DUE TO AGENT ORANGE,8979,AOIV,,
DIABETES -AGENT ORANGE,8973,AOIV,,
DIABETES TYPE 2 INITIAL AO,8973,AOIV,,
IHD-AGENT ORANGE,8979,AOIV,,
DIABETES - AO,8973,AOIV,,
DIABETES MELLITUS DUE TO AO,8973,AOIV,,
DMII (AGENT ORANGE),8973,AOIV,,
PARKINSON'S DISEASE - AGENT ORANGE,9007,AOIV,,
DIABETES MELLITUS (AGENT ORANGE),8973,AOIV,,
DIABETES MELLITUS TYPE II DUE TO AO,8973,AOIV,,
DIABETES-AGENT ORANGE VIETNAM,8973,AOIV,,
DMII DUE TO A/O EXPOSURE,8973,AOIV,,
PARKINSONS DISEASE DUE TO AGENT ORANGE,9007,AOIV,,
PARKINSONS-AGENT ORANGE,9007,AOIV,,
PROSTATE CANCER AGENT ORANGE VIETNAM,8935,AOIV,,
PROSTATE CANCER DUE TO A/O EXPOSURE,8935,AOIV,,
RESPIRATORY CONDITION-DUE TO AGENT ORANGE,9012,AOIV,,
SKIN CANCER DUE TO AO,1250,AOIV,,
AGENT ORANGE PROSTATE CANCER,8935,AOIV,,
AGENT ORANGE,8925,AOOV,,
AGENT ORANGE EXPOSURE,8925,AOOV,,
DIABETES-AGENT ORANGE,8973,AOOV,,
DIABETES AGENT ORANGE,8973,AOOV,,
PROSTATE CANCER AGENT ORANGE,8935,AOOV,,
EXPOSURE TO AGENT ORANGE,8925,AOOV,,
PROSTATE CANCER-AGENT ORANGE,8935,AOOV,,
DIABETES DUE TO AGENT ORANGE,8973,AOOV,,
DIABETES - AGENT ORANGE,8973,AOOV,,
PROSTATE CANCER DUE TO AGENT ORANGE,8935,AOOV,,
PROSTATE CANCER (AGENT ORANGE),8935,AOOV,,
ISCHEMIC HEART DISEASE-AGENT ORANGE,8979,AOOV,,
ISCHEMIC HEART DISEASE (AGENT ORANGE),8979,AOOV,,
ISCHEMIC HEART DISEASE DUE TO AGENT ORANGE,8979,AOOV,,
DIABETES (AGENT ORANGE),8973,AOOV,,
ISCHEMIC HEART DISEASE AGENT ORANGE,8979,AOOV,,
PROSTATE CANCER - AGENT ORANGE,8935,AOOV,,
PROSTATE CANCER DUE TO AGENT ORANGE EXPOSURE,8935,AOOV,,
DIABETES DUE TO AGENT ORANGE EXPOSURE,8973,AOOV,,
HEART CONDITION (AGENT ORANGE),8979,AOOV,,
ISCHEMIC HEART DISEASE - AGENT ORANGE,8979,AOOV,,
PROSTATE CANCER (AO),8935,AOOV,,
HEART CONDITION DUE TO AGENT ORANGE,8979,AOOV,,
DIABETES (AO),8973,AOOV,,
ISCHEMIC HEART DISEASE (AO),8979,AOOV,,
PROSTATE CANCER DUE TO AO,8935,AOOV,,
HEART CONDITION AGENT ORANGE,8979,AOOV,,
ISCHEMIC HEART DISEASE DUE TO AGENT ORANGE EXPOSURE,8979,AOOV,,
PROSTATE CANCER DUE TO AO EXPOSURE,8935,AOOV,,
HEART CONDITION DUE TO AO,8979,AOOV,,
DIABETES DUE TO AO,8973,AOOV,,
ISCHEMIC HEART DISEASE DUE TO AO EXPOSURE,8979,AOOV,,
CORONARY ARTERY DISEASE (AGENT ORANGE),8979,AOOV,,
DIABETES TYPE II DUE TO AGENT ORANGE,8973,AOOV,,
HYPERTENSION DUE TO AGENT ORANGE,8979,AOOV,,
LUNG CANCER DUE TO AGENT ORANGE,1230,AOOV,,
LUNG CANCER DUE TO AGENT ORANGE EXPOSURE,1230,AOOV,,
DIABETES DUE TO AO EXPOSURE,8973,AOOV,,
DIABETES AGENT ORANGE EXPOSURE,8973,AOOV,,
DIABETES TYPE II DUE TO AGENT ORANGE EXPOSURE,8973,AOOV,,
HEART CONDITION DUE TO AGENT ORANGE EXPOSURE,8979,AOOV,,
HEART CONDITION DUE TO AO EXPOSURE,8979,AOOV,,
DIABETES- AGENT ORANGE,8973,AOOV,,
ISCHEMIC HEART DISEASE DUE TO AO,8979,AOOV,,
PROSTATE CANCER DUE TO HERBICIDE EXPOSURE,8935,AOOV,,
PROSTATE CANCER AGENT ORANGE EXPOSURE,8935,AOOV,,
HEART DISEASE DUE TO AGENT ORANGE,8979,AOOV,,
SKIN CONDITION DUE TO AGENT ORANGE,9016,AOOV,,
CORONARY ARTERY DISEASE DUE TO AGENT ORANGE EXPOSURE,8979,AOOV,,
PROSTATE CANCER DUE TO EXPOSURE TO AGENT ORANGE,8935,AOOV,,
LUNG CANCER DUE TO AO EXPOSURE,1230,AOOV,,
IHD DUE TO AO EXPOSURE,8979,AOOV,,
SKIN CANCER DUE TO AGENT ORANGE,1250,AOOV,,
PROSTATE CANCER - AO,8935,AOOV,,
HYPERTENSION DUE TO AGENT ORANGE EXPOSURE,8979,AOOV,,
IHD DUE TO AO,8979,AOOV,,
PARKINSON'S DISEASE DUE TO AGENT ORANGE,9007,AOOV,,
SKIN CANCER DUE TO AGENT ORANGE EXPOSURE,1250,AOOV,,
DIABETES MELLITUS DUE TO AGENT ORANGE,8973,AOOV,,
DIABETES MELLITUS TYPE II DUE TO AGENT ORANGE EXPOSURE,8973,AOOV,,
HEART DISEASE DUE TO AGENT ORANGE EXPOSURE,8979,AOOV,,
ISCHEMIC HEART DISEASE DUE TO EXPOSURE TO AGENT ORANGE,8979,AOOV,,
ASBESTOSIS,9012,ASB,,
ASBESTOS EXPOSURE,8925,ASB,,
ASBESTOS,8925,ASB,,
EXPOSURE TO ASBESTOS,8925,ASB,,
COPD DUE TO ASBESTOS EXPOSURE,9012,ASB,,
LUNG CONDITION DUE TO ASBESTOS EXPOSURE,9012,ASB,,
EXPOSED TO ASBESTOS,9012,ASB,,
DUE TO ASBESTOS EXPOSURE,9012,ASB,,
LUNG CONDITION DUE TO ASBESTOS,9012,ASB,,
GULF WAR ENVIRONMENTAL HAZARDS,8925,GW,,
GULF WAR,8976,GW,,
EXPOSURE TO BURN PITS,8925,GW,,
CHRONIC FATIGUE (GULF WAR),8976,GW,,
ACID REFLUX (GULF),8968,GW,,
HEADACHES (GULF),9007,GW,,
FIBROMYALGIA GULF WAR,8976,GW,,
GULF WAR SYNDROM,8976,GW,,
FIBROMYALGIA (GULF WAR),8976,GW,,
IBS (GULF WAR),8968,GW,,
GULF WAR SYNDROME TO INCLUDE,8976,GW,,
HEADACHES-GULF WAR,9007,GW,,
GULF WAR VETERAN,8976,GW,,
HEADACHES (GULF WAR),9007,GW,,
SHORT TERM MEMORY LOSS (GULF),9020,GW,,
CHRONIC FATIGUE SYNDROME (GULF WAR),8976,GW,,
GULF WAR ENVIRONMENTAL HAZARD,8976,GW,,
"GULF WAR SYNDROME,",8976,GW,,
HEADACHES GULF WAR,9007,GW,,
IBS-GULF WAR,8968,GW,,
JOINT PAIN-GULF WAR,9005,GW,,
UNDIAGNOSED GULF WAR ILLNESS,8976,GW,,
HERBICIDAL EXPOSURE (GULF WAR),8976,GW,,
SKIN CONDITION (GULF WAR),9016,GW,,
-> GWS,8976,GW,,
HEPATITIS C,8968,HEPC,,
HEP C,8968,HEPC,,
HEPATITUS C,8968,HEPC,,
HEP-C,8968,HEPC,,
HEPATITIS-C,8968,HEPC,,
HEPITITIS C,8968,HEPC,,
"HEPATITIS C,",8968,HEPC,,
HEPATITUS,8968,HEPC,,
HEPATITS C,8968,HEPC,,
CHRONIC HEPATITIS C,8968,HEPC,,
HEPITITUS C,8968,HEPC,,
HEPATIS C,8968,HEPC,,
HEPATITIS  C ,8968,HEPC,,
HEPITIS C,8968,HEPC,,
HIV,8986,HIV,,
HIV POSITIVE,8986,HIV,,
AIDS,8986,HIV,,
Mustard Gas,8925,MG,,
MST,9011,MST,,
PTSD DUE TO MST,9011,MST,,
MILITARY SEXUAL TRAUMA,9011,MST,,
PTSD/MST,9011,MST,,
PTSD-MST,9011,MST,,
PTSD (MST),9011,MST,,
PTSD MST,9011,MST,,
SEXUAL TRAUMA,9011,MST,,
PTSD SECONDARY TO MST,9011,MST,,
MST/PTSD,9011,MST,,
PTSD - MST,9011,MST,,
SEXUAL ASSAULT,9011,MST,,
MILITARY SEXUAL TRAUMA (MST),9011,MST,,
MST PTSD,9011,MST,,
PTSD DUE TO MILITARY SEXUAL TRAUMA,9011,MST,,
DEPRESSION DUE TO MST,8989,MST,,
MILITARY SEXUAL TRAMA,9011,MST,,
ANXIETY DUE TO MST,9011,MST,,
PTSD WITH MST,9011,MST,,
PTSD / MST,9011,MST,,
PTSD (DUE TO MST),9011,MST,,
PTSD-DUE TO MST,9011,MST,,
MST-PTSD,9011,MST,,
PTSD DUE TO SEXUAL TRAUMA,9011,MST,,
MST MILITARY SEXUAL TRAUMA,9011,MST,,
PTSD W/MST,9011,MST,,
POST TRAUMATIC STRESS DISORDER DUE TO MST,9011,MST,,
PTSD SEXUAL TRAUMA,9011,MST,,
PTSD,9010,PTSD/1,,
POST TRAUMATIC STRESS DISORDER,9010,PTSD/1,,
PTSD INCREASE,9010,PTSD/1,,
INCREASE PTSD,9010,PTSD/1,,
"PTSD,",9010,PTSD/1,,
PTSD (INCREASE),9010,PTSD/1,,
PTSD-INCREASE,9010,PTSD/1,,
P.T.S.D.,9010,PTSD/1,,
POSTTRAUMATIC STRESS DISORDER,9010,PTSD/1,,
SLEEP APNEA SECONDARY TO PTSD,9012,PTSD/1,,
POST-TRAUMATIC STRESS DISORDER,9010,PTSD/1,,
POST TRAUMATIC STRESS,9010,PTSD/1,,
INCREASE FOR PTSD,9010,PTSD/1,,
POST TRAUMATIC STRESS DISORDER (PTSD),9010,PTSD/1,,
PTSD - INCREASE,9010,PTSD/1,,
SC PTSD,9010,PTSD/1,,
PTSD/DEPRESSION,9010,PTSD/1,,
INCREASE IN PTSD,9010,PTSD/1,,
S/C PTSD,9010,PTSD/1,,
PTSD.,9010,PTSD/1,,
^SC PTSD,9010,PTSD/1,,
PTSD (NEW),9010,PTSD/1,,
REOPEN PTSD,9010,PTSD/1,,
PTSD/DEPRESSION/ANXIETY,9010,PTSD/1,,
POST TRAMATIC STRESS DISORDER,9010,PTSD/1,,
PTSD-NEW,9010,PTSD/1,,
PTSD INITIAL,9010,PTSD/1,,
PTSD/ANXIETY,9010,PTSD/1,,
PTSD/ANXIETY/DEPRESSION,9010,PTSD/1,,
PTSD COMBAT,9010,PTSD/1,,
PTSD SERVICE CONNECTED,9010,PTSD/1,,
PTSD (COMBAT),9010,PTSD/1,,
STRESS DISORDER,9010,PTSD/1,,
PTSD NEW,9010,PTSD/1,,
PTSD-INITIAL,9010,PTSD/1,,
IR PTSD,9010,PTSD/1,,
INC PTSD,9010,PTSD/1,,
PTSD DUE TO COMBAT,9010,PTSD/1,,
CHRONIC PTSD,9010,PTSD/1,,
PTSD-,9010,PTSD/1,,
P.T.S.D,9010,PTSD/1,,
PTSD (REOPEN),9010,PTSD/1,,
PTSD - NEW,9010,PTSD/1,,
PTSD CONDITION,9010,PTSD/1,,
SERVICE CONNECTION FOR PTSD,9010,PTSD/1,,
DEPRESSION SECONDARY TO PTSD,8989,PTSD/1,,
PTSD-COMBAT,9010,PTSD/1,,
S/C FOR PTSD,9010,PTSD/1,,
DEPRESSION/PTSD,8989,PTSD/1,,
PTSD COMBAT RELATED,9010,PTSD/1,,
MENTAL CONDITION TO INCLUDE PTSD,8989,PTSD/1,,
PTSD WITH DEPRESSION,9010,PTSD/1,,
"PTSD, DEPRESSION, ANXIETY",9010,PTSD/1,,
INSOMNIA SECONDARY TO PTSD,8989,PTSD/1,,
INCREASE-PTSD,9010,PTSD/1,,
PTSD REOPEN,9010,PTSD/1,,
MENTAL HEALTH CONDITION TO INCLUDE PTSD,8989,PTSD/1,,
PTSD- INCREASE,9010,PTSD/1,,
INCREASE - PTSD,9010,PTSD/1,,
PTSD-UNDER 3.304(F)(3),9010,PTSD/1,,
PSTD,9010,PTSD/1,,
ANXIETY SECONDARY TO PTSD,8989,PTSD/1,,
SLEEP APNEA 2ND TO PTSD,9012,PTSD/1,,
NEW PTSD,9010,PTSD/1,,
PTSD-REOPEN,9010,PTSD/1,,
1. PTSD,9010,PTSD/1,,
RE-OPEN PTSD,9010,PTSD/1,,
SC FOR PTSD,9010,PTSD/1,,
PTSD-COMBAT RELATED,9010,PTSD/1,,
I/R PTSD,9010,PTSD/1,,
TRAUMATIC STRESS DISORDER,9010,PTSD/1,,
PTSD (COMBAT RELATED),9010,PTSD/1,,
PTSD RECONSIDERATION,9010,PTSD/1,,
ENTITLEMENT TO SERVICE CONNECTION FOR PTSD.,9010,PTSD/1,,
PTSD - REOPEN,9010,PTSD/1,,
"PTSD, ANXIETY, DEPRESSION",9010,PTSD/1,,
PTSD UNDER 3.304(F)(3),9010,PTSD/1,,
INCREASE ON PTSD,9010,PTSD/1,,
INCLUDE PTSD,9010,PTSD/1,,
SLEEP APNEA-SECONDARY TO PTSD,9012,PTSD/1,,
(PTSD),9010,PTSD/1,,
PTSD (VIETNAM),9010,PTSD/1,,
PTSD VIETNAM,9010,PTSD/1,,
PTSD (RECONSIDERATION),9010,PTSD/1,,
PTSD/,9010,PTSD/1,,
MENTAL HEALTH TO INCLUDE PTSD,9010,PTSD/1,,
PTSD W/ANXIETY,9010,PTSD/1,,
PTSD (INC EVAL),9010,PTSD/1,,
"PTSD, COMBAT RELATED",9010,PTSD/1,,
INCREASE IN S/C PTSD,9010,PTSD/1,,
PTSD - INITIAL,9010,PTSD/1,,
PTSD-SERVICE CONNECTED,9010,PTSD/1,,
RECONSIDERATION FOR PTSD,9010,PTSD/1,,
FOR PTSD,9010,PTSD/1,,
ENTITLEMENT TO SERVICE CONNECTION FOR PTSD,9010,PTSD/1,,
ALL MENTAL CONDITIONS TO INCLUDE PTSD,9010,PTSD/1,,
INCREASE SC PTSD,9010,PTSD/1,,
P.T.S.D./MAJOR DEPRESSION,9010,PTSD/1,,
CFI PTSD,9010,PTSD/1,,
SERVICE CONNECTED PTSD,9010,PTSD/1,,
PTSD/MAJOR DEPRESSION,9010,PTSD/1,,
^ PTSD,9010,PTSD/1,,
INCREASE S/C PTSD,9010,PTSD/1,,
CHRONIC MENTAL HEALTH CONDITION TO INCLUDE PTSD,9010,PTSD/1,,
PTSD SINCE SERVICE,9010,PTSD/1,,
PTSD/NEW,9010,PTSD/1,,
PTSD DEPRESSION,9010,PTSD/1,,
PTSD WITH DEPRESSION AND ANXIETY,9010,PTSD/1,,
"POST TRAUMATIC STRESS DISORDER,",9010,PTSD/1,,
POST TRAUMATIC STRESS DISORDER (INCREASE),9010,PTSD/1,,
POST-TRAUMATIC STRESS,9010,PTSD/1,,
POST TRAUMATIC,9010,PTSD/1,,
PTSD POST TRAUMATIC STRESS DISORDER,9010,PTSD/1,,
SLEEP DISORDER 2ND PTSD,9010,PTSD/1,,
INCREASE POST TRAUMATIC STRESS DISORDER,9010,PTSD/1,,
PTSD *REQUEST AN INCREASE,9010,PTSD/1,,
SLEEP APNEA (SECONDARY TO PTSD),9012,PTSD/1,,
ANXIETY/DEPRESSION/PTSD,8989,PTSD/1,,
"PTSD, COMBAT",9010,PTSD/1,,
PTSD ANXIETY DEPRESSION,9010,PTSD/1,,
PTSD WAR EXPERIENCES,9010,PTSD/1,,
PTSD (RE-OPEN),9010,PTSD/1,,
PTSD(INCREASE),9010,PTSD/1,,
ADD PTSD,9010,PTSD/1,,
PTSD-VIETNAM,9010,PTSD/1,,
SC^ PTSD,9010,PTSD/1,,
SLEEP DISORDER SECONDARY TO PTSD,8989,PTSD/1,,
PTSD (POST TRAUMATIC STRESS DISORDER),9010,PTSD/1,,
PTSD -,9010,PTSD/1,,
PTSD/INSOMNIA,9010,PTSD/1,,
RECONSIDERATION PTSD,9010,PTSD/1,,
POST TRAUMATIC STRESS DISORDER PTSD,9010,PTSD/1,,
INCREASE RATING FOR PTSD,9010,PTSD/1,,
P T S D,9010,PTSD/1,,
TO INCLUDE PTSD,9010,PTSD/1,,
1) PTSD,9010,PTSD/1,,
ACQUIRED PSYCH DISORDER,9010,PTSD/1,,
INCREASE IN SC PTSD,9010,PTSD/1,,
PTSD (NEW CLAIM),9010,PTSD/1,,
INCREASE EVALUATION FOR PTSD,9010,PTSD/1,,
INCREASED RATING FOR PTSD,9010,PTSD/1,,
PTSD DEPRESSION ANXIETY,9010,PTSD/1,,
POST TRAUMATIC STRESS SYNDROME,9010,PTSD/1,,
POST TRAMATIC STRESS,9010,PTSD/1,,
PTSD-RECONSIDERATION,9010,PTSD/1,,
POST-TRAUMATIC STRESS DISORDER (PTSD),9010,PTSD/1,,
PTSD - COMBAT,9010,PTSD/1,,
PTSD S/C,9010,PTSD/1,,
PTSD W/DEPRESSION,9010,PTSD/1,,
PTSD-CLAIM FOR INCREASE,9010,PTSD/1,,
ROSC PTSD,9010,PTSD/1,,
REEVALUATE PTSD,9010,PTSD/1,,
PTS,9010,PTSD/1,,
PTSD WITH ANXIETY,9010,PTSD/1,,
INCREASED EVALUATION FOR PTSD,9010,PTSD/1,,
INCREASE TO PTSD,9010,PTSD/1,,
PTSD AND,9010,PTSD/1,,
PTSD SC,9010,PTSD/1,,
NEW CLAIM FOR PTSD,9010,PTSD/1,,
PTSD WITH ANXIETY AND DEPRESSION,9010,PTSD/1,,
PTSD (COMBAT ACTION RIBBON),9010,PTSD/1,,
RECONSIDERATION OF PTSD,9010,PTSD/1,,
(SECONDARY TO PTSD),9010,PTSD/1,,
"ACQUIRED MENTAL HEALTH CONDITION TO INCLUDE ANXIETY, DEPRESSION AND PTSD",9010,PTSD/1,,
IR FOR PTSD,9010,PTSD/1,,
PTSD (CIB),9010,PTSD/1,,
NEW-PTSD,9010,PTSD/1,,
1.PTSD,9010,PTSD/1,,
POST TRAUMATIC DISORDER,9010,PTSD/1,,
PTSD (CAB),9010,PTSD/1,,
PTSD ANXIETY,9010,PTSD/1,,
INC FOR PTSD,9010,PTSD/1,,
PTSD CHRONIC,9010,PTSD/1,,
PTSD GULF WAR,9010,PTSD/1,,
PTSD NON COMBAT,9010,PTSD/1,,
PTSD/MENTAL HEALTH- ADD,9010,PTSD/1,,
DEPRESSION/ANXIETY/PTSD,8989,PTSD/1,,
NEW S/C DIS PTSD,9010,PTSD/1,,
PTSD - COMBAT RELATED,9010,PTSD/1,,
REOPEN CLAIM FOR PTSD,9010,PTSD/1,,
PTSD-DEPRESSION,9010,PTSD/1,,
PTSD/MENTAL HEALTH-ADD,9010,PTSD/1,,
SEVERE PTSD,9010,PTSD/1,,
SLEEP APNEA - SECONDARY TO PTSD,9012,PTSD/1,,
FLASH BACKS,9010,PTSD/1,,
PARA 29 DUE TO PTSD,9010,PTSD/1,,
HYPERTENSION 2ND TO PTSD,8979,PTSD/1,,
PTSD CONDITION INITIAL,9010,PTSD/1,,
PTSD - VIETNAM,9010,PTSD/1,,
PTSD (GULF WAR),9010,PTSD/1,,
DEPRESSION PTSD,9010,PTSD/1,,
PTSD - SERVICE CONNECTED,9010,PTSD/1,,
PTSD- INITIAL,9010,PTSD/1,,
PTSD- NEW,9010,PTSD/1,,
RECONSIDER PTSD,9010,PTSD/1,,
ENTITLEMENT TO AN INCREASE FOR PTSD.,9010,PTSD/1,,
