UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3 
158325,R,10075,R,1400,A,.,R,10075,R,1400,A,.,R,10075,R,1400,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
158334,R,9300,R,3175,A,.,R,9300,R,3175,A,.,R,9300,R,3175,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
158352,R,2877,R,816,R,120,R,2877,R,816,R,120,R,6955,R,816,R,290,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,984,R,520,R,1504,R,1421,R,520,R,1941,R,2550,R,586,R,3136,R,2877,R,816,R,3693,.,.,R,984,R,520,R,1504,R,1421,R,520,R,1941,R,2550,R,586,R,3136,R,2877,R,816,R,3693,.,.,R,2544,R,520,R,3064,R,2981,R,520,R,3501,R,6414,R,586,R,7000,R,6955,R,816,R,7771,.,.,R,1200,R,1200,R,1200,R,1200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8326,R,8642,R,8789,R,8921,R,3435,R,3566,R,3435,R,3680,R,3435,R,3566,R,3626,R,3680
158431,R,2980,R,636,R,178,R,2980,R,636,R,178,R,6883,R,636,R,341,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,2112,R,540,R,2652,R,2371,R,540,R,2911,R,2656,R,636,R,3292,R,2980,R,636,R,3616,.,.,R,2112,R,540,R,2652,R,2371,R,540,R,2911,R,2656,R,636,R,3292,R,2980,R,636,R,3616,.,.,R,4920,R,540,R,5460,R,5597,R,540,R,6137,R,6205,R,636,R,6841,R,6883,R,636,R,7519,.,.,R,1200,R,1200,R,1200,R,1200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8326,R,8642,R,8789,R,8921,R,3435,R,3566,R,3626,R,3680,R,3435,R,3566,R,3566,R,3680
158477,R,32750,R,0,R,1330,R,32750,Z,0,R,1330,R,32750,Z,0,R,1330,R,8475,R,120,R,338,R,8475,R,120,R,338,R,8475,R,120,R,338,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,24030,R,1260,R,25290,R,29500,R,0,R,29500,R,30740,R,0,R,30740,R,33500,R,0,R,33500,.,.,R,24030,R,1260,R,25290,R,29500,R,0,R,29500,R,30740,R,0,R,30740,R,33500,R,0,R,33500,.,.,R,24030,R,1260,R,25290,R,29500,R,0,R,29500,R,30740,R,0,R,30740,R,33500,R,0,R,33500,.,.,R,1200,R,1200,R,1200,R,1200,R,8730,R,9320,R,9620,R,12150,R,2880,R,2980,R,3040,R,3100,R,8330,R,8750,R,8800,R,8900,R,3430,R,3550,R,3660,R,3700,R,3430,R,3550,R,3660,R,3700
158662,R,2922,R,703,R,122,R,2922,R,703,R,122,R,6982,R,703,R,122,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,2640,R,690,R,3330,R,2371,R,620,R,2991,R,2656,R,646,R,3302,R,2992,R,703,R,3695,.,.,R,2640,R,690,R,3330,R,2371,R,620,R,2991,R,2656,R,646,R,3302,R,2992,R,703,R,3695,.,.,R,6168,R,690,R,6858,R,5726,R,620,R,6346,R,6347,R,646,R,6993,R,6982,R,703,R,7685,.,.,R,1200,R,1200,R,1200,R,1200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8326,R,8642,R,8789,R,8789,R,3435,R,3075,R,3626,R,3626,R,3435,R,3075,R,3626,R,3626
158723,R,9590,R,95,A,.,R,9590,R,95,A,.,R,9590,R,95,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9590,R,190,R,9780,R,9590,R,95,R,9685,R,9590,R,95,R,9685,R,9590,R,95,R,9685,0,0,R,9590,R,190,R,9780,R,9590,R,95,R,9685,R,9590,R,95,R,9685,R,9590,R,95,R,9685,0,0,R,9590,R,190,R,9780,R,9590,R,95,R,9685,R,9590,R,95,R,9685,R,9590,R,95,R,9685,0,0,R,2000,R,2000,R,2000,R,2000,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9608,R,9714,R,9714,R,9714,R,3964,R,4007,R,4007,R,4008,R,3964,R,4007,R,4007,R,4008
158802,R,15038,R,1214,R,627,R,15038,R,1214,R,627,R,15038,R,1214,R,627,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13650,R,1120,R,14770,R,13650,R,1120,R,14770,R,14600,R,1494,R,16094,R,15038,R,1214,R,16252,.,.,R,13650,R,1120,R,14770,R,13650,R,1120,R,14770,R,14600,R,1494,R,16094,R,15038,R,1214,R,16252,.,.,R,13650,R,1120,R,14770,R,13650,R,1120,R,14770,R,14600,R,1494,R,16094,R,15038,R,1214,R,16252,.,.,R,1200,R,1200,R,1200,R,1200,R,8688,R,8868,R,9314,R,9574,R,3435,R,3718,R,3750,R,3780,R,8688,R,8642,R,8642,R,8922,R,3435,R,3718,R,3750,R,3780,R,3435,R,3718,R,3750,R,3780
158884,R,2980,R,610,R,124,R,2980,R,610,R,124,R,6344,R,610,R,264,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,2112,R,494,R,2606,R,2371,R,504,R,2875,R,2656,R,600,R,3256,R,2980,R,610,R,3590,.,.,R,2112,R,494,R,2606,R,2371,R,504,R,2875,R,2656,R,600,R,3256,R,2980,R,610,R,3590,.,.,R,4954,R,494,R,5448,R,5442,R,504,R,5946,R,5846,R,600,R,6446,R,6344,R,610,R,6954,.,.,R,1300,R,1350,R,1400,R,1200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8236,R,8642,R,8753,R,8921,R,3398,R,3566,R,4276,R,4880,R,3398,R,3566,R,3566,R,3520
159009,R,4895,R,1630,R,204,R,4895,R,1630,R,204,R,4895,R,10849,R,204,R,4866,R,1468,R,270,R,4866,R,1468,R,270,R,4866,R,10687,R,270,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3460,R,1426,R,4886,R,3932,R,1341,R,5273,R,4450,R,1500,R,5950,R,4895,R,1630,R,6525,.,.,R,3460,R,1426,R,4886,R,3932,R,1341,R,5273,R,4450,R,1500,R,5950,R,4895,R,1630,R,6525,.,.,R,3460,R,8639,R,12099,R,3932,R,9711,R,13643,R,4450,R,10668,R,15118,R,4895,R,10849,R,15744,.,.,R,1200,R,1600,R,1600,R,1749,R,8498,R,8901,R,9169,R,9728,R,5592,R,5793,R,6001,R,6405,R,8642,R,8901,R,9169,R,9728,R,6090,R,6316,R,6551,R,7000,R,6090,R,6316,R,6551,R,6748
159197,R,10425,R,150,A,.,R,10425,R,150,A,.,R,10425,R,150,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9937,R,150,R,10087,R,10425,R,150,R,10575,R,10425,R,150,R,10575,R,10425,R,150,R,10575,.,.,R,9937,R,150,R,10087,R,10425,R,150,R,10575,R,10425,R,150,R,10575,R,10425,R,150,R,10575,.,.,R,9937,R,150,R,10087,R,10425,R,150,R,10575,R,10425,R,150,R,10575,R,10425,R,150,R,10575,.,.,R,2448,R,2544,R,1631,R,2412,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,4479,R,4910,R,5220,R,5400,R,5511,R,5980,R,6336,R,6336,R,5511,R,5980,R,6336,R,6336
159373,R,4638,R,902,R,346,R,4638,R,902,R,346,R,9287,R,902,R,637,R,7237,R,792,R,463,R,7237,R,792,R,463,R,14483,R,792,R,847,Y,.,Y,.,Y,.,Y,.,R,22183,R,1248,R,55852,R,1248,R,27367,R,1312,R,54776,R,1312,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
159382,R,4734,R,1275,R,377,R,4734,R,1275,R,377,R,4734,R,8134,R,663,R,4734,R,1275,R,377,R,4734,R,1275,R,377,R,4734,R,8134,R,663,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3566,R,836,R,4402,R,3739,R,878,R,4617,R,4200,R,1137,R,5337,R,4620,R,1389,R,6009,.,.,R,3566,R,836,R,4402,R,3739,R,878,R,4617,R,4200,R,1137,R,5337,R,4620,R,1389,R,6009,.,.,R,3566,R,4412,R,7978,R,3739,R,5661,R,9400,R,4200,R,6868,R,11068,R,4620,R,8248,R,12868,.,.,R,1200,R,1200,R,1200,R,1200,R,6800,R,7350,R,7350,R,7730,R,2888,R,2998,R,3126,R,3048,R,8326,R,8642,R,8788,R,8788,R,3434,R,3564,R,4810,R,3624,R,3434,R,3564,R,4810,R,3624
159391,R,6678,R,2072,R,279,R,6678,R,2072,R,279,R,6678,R,19789,R,934,R,7826,R,2051,R,399,R,7826,R,2051,R,399,R,7826,R,19952,R,1085,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,21658,R,2359,R,21658,R,30059,R,18950,R,2078,R,18950,R,21428,R,4558,R,1796,R,6354,R,5193,R,1796,R,6989,R,5891,R,1982,R,7873,R,6678,R,2072,R,8750,.,.,R,4558,R,1796,R,6354,R,5193,R,1796,R,6989,R,5891,R,1982,R,7873,R,6678,R,2072,R,8750,.,.,R,4558,R,14804,R,19362,R,5193,R,17072,R,22265,R,5891,R,19899,R,25790,R,6678,R,19789,R,26467,.,.,R,1500,R,1500,R,1500,R,1500,R,8670,R,10218,R,10804,R,10804,R,2890,R,3000,R,3050,R,3096,R,14352,R,15020,R,15264,R,15264,R,3436,R,3568,R,3628,R,3680,R,3436,R,3568,R,3628,R,3680
159407,R,2618,R,904,R,147,R,2618,R,904,R,147,R,2618,R,6268,R,370,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,2742,R,0,R,2742,R,2018,R,802,R,2820,R,2300,R,898,R,3198,R,2618,R,904,R,3522,.,.,R,2742,R,0,R,2742,R,2018,R,802,R,2820,R,2300,R,898,R,3198,R,2618,R,904,R,3522,.,.,R,7206,R,0,R,7206,R,2018,R,5974,R,7992,R,2300,R,6190,R,8490,R,2618,R,6268,R,8886,.,.,R,1200,R,1200,R,1200,R,1200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8326,R,8642,R,8788,R,8920,R,3434,R,3564,R,3624,R,3680,R,3434,R,3564,R,3624,R,3680
159416,R,4937,R,1231,R,257,R,4937,R,1231,R,257,R,4937,R,1231,R,257,R,5234,R,941,R,343,R,5234,R,941,R,343,R,5234,R,941,R,343,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3433,R,1061,R,4494,R,3882,R,1061,R,4943,R,4376,R,1231,R,5607,R,4937,R,1231,R,6168,.,.,R,3433,R,1061,R,4494,R,3882,R,1061,R,4943,R,4376,R,1231,R,5607,R,4937,R,1231,R,6168,.,.,R,3433,R,1061,R,4494,R,3882,R,1061,R,4943,R,4376,R,1231,R,5607,R,4937,R,1231,R,6168,.,.,R,1200,R,1200,R,1200,R,1200,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,8326,R,8642,R,8789,R,8921,R,3435,R,3566,R,3626,R,3680,R,3435,R,3566,R,3626,R,3680
159568,R,12750,R,1820,R,425,R,12750,R,1820,R,425,R,12750,R,1820,R,425,R,6720,R,0,R,320,R,6720,Z,0,R,320,R,6720,Z,0,R,320,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,11850,R,1530,R,13380,R,12150,R,1630,R,13780,R,12450,R,1670,R,14120,R,12750,R,1820,R,14570,.,.,R,11850,R,1530,R,13380,R,12150,R,1630,R,13780,R,12450,R,1670,R,14120,R,12750,R,1820,R,14570,.,.,R,11850,R,1530,R,13380,R,12150,R,1630,R,13780,R,12450,R,1670,R,14120,R,12750,R,1820,R,14570,.,.,R,1200,R,1200,R,1200,R,1200,R,4820,R,4960,R,5020,R,5074,R,2888,R,3000,R,3050,R,3680,A,.,A,.,R,8790,R,8921,A,.,A,.,R,3628,R,3680,A,.,A,.,R,3628,R,3680
159647,R,6233,R,1819,R,336,R,6233,R,1819,R,336,R,20816,R,1819,R,943,R,6460,R,1790,R,344,R,6460,R,1790,R,344,R,17740,R,1790,R,814,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,4189,R,1707,R,5896,R,4777,R,1797,R,6574,R,5506,R,1796,R,7302,R,6233,R,1819,R,8052,.,.,R,4189,R,1707,R,5896,R,4777,R,1797,R,6574,R,5506,R,1796,R,7302,R,6233,R,1819,R,8052,.,.,R,11314,R,1707,R,13021,R,13399,R,1797,R,15196,R,16645,R,1796,R,18441,R,20816,R,1819,R,22635,.,.,R,1800,R,1800,R,1800,R,1800,R,5265,R,6324,R,6396,R,6495,R,3429,R,3429,R,3429,R,2343,R,7425,R,6186,R,6369,R,6390,R,3744,R,3744,R,3744,R,3798,R,3699,R,3699,R,3699,R,4692
159656,R,35504,R,1126,R,1012,R,35504,R,1126,R,1012,R,35504,R,1126,R,1012,R,14724,R,1106,R,818,R,14724,R,1106,R,818,R,14724,R,1106,R,818,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,42000,R,1630,R,42000,R,1630,R,32266,R,1286,R,33552,R,33846,R,1336,R,35182,R,35504,R,1356,R,36860,R,35504,R,1126,R,36630,.,.,R,32266,R,1286,R,33552,R,33846,R,1336,R,35182,R,35504,R,1356,R,36860,R,35504,R,1126,R,36630,.,.,R,32266,R,1286,R,33552,R,33846,R,1336,R,35182,R,35504,R,1356,R,36860,R,35504,R,1126,R,36630,.,.,R,1000,R,1000,R,1200,R,1200,R,10750,R,11346,R,11862,R,12660,R,1500,R,1500,R,1838,R,1860,R,10750,R,11346,R,11862,R,12660,R,1500,R,1500,R,1838,R,1860,R,1500,R,1500,R,1838,R,1860
159717,R,4679,R,1655,R,529,R,4679,R,1655,R,529,R,15749,R,1655,R,1456,R,5273,R,1482,R,749,R,5273,R,1482,R,749,R,16343,R,1482,R,2023,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3312,R,1071,R,4383,R,3747,R,1341,R,5088,R,4254,R,1447,R,5701,R,4679,R,1655,R,6334,.,.,R,3312,R,1071,R,4383,R,3747,R,1341,R,5088,R,4254,R,1447,R,5701,R,4679,R,1655,R,6334,.,.,R,12134,R,1071,R,13205,R,13829,R,1341,R,15170,R,15156,R,1447,R,16603,R,15749,R,1655,R,17404,.,.,R,1200,R,1200,R,1200,R,1200,R,6384,R,6610,R,7230,R,7464,R,2890,R,3608,R,3628,R,3680,R,8326,R,8642,R,8790,R,8922,R,3436,R,3608,R,3628,R,3680,R,3436,R,3608,R,3628,R,3680
159939,R,6388,R,1004,R,266,R,6388,R,1004,R,266,R,19998,R,1004,R,833,R,6436,R,1298,R,358,R,6436,R,1298,R,358,R,20046,R,1298,R,1114,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,4644,R,570,R,5214,R,5164,R,686,R,5850,R,5724,R,854,R,6578,R,6388,R,1004,R,7392,.,.,R,4644,R,570,R,5214,R,5164,R,686,R,5850,R,5724,R,854,R,6578,R,6388,R,1004,R,7392,.,.,R,16168,R,570,R,16738,R,17176,R,686,R,17862,R,18214,R,854,R,19068,R,19998,R,1004,R,21002,.,.,R,1300,R,1300,R,1200,R,1200,R,8310,R,8504,R,8946,R,9274,R,2940,R,3050,R,3101,R,3147,R,11797,R,11797,R,10464,R,8921,R,3487,R,3618,R,3678,R,3732,R,3487,R,3618,R,3678,R,3732
159948,R,6120,R,540,R,255,R,6120,R,540,R,255,R,6120,R,540,R,255,R,4590,R,540,R,255,R,4590,R,540,R,255,R,4590,R,540,R,255,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,5486,R,247,R,5733,R,5880,R,390,R,6270,R,6000,R,540,R,6540,R,6120,R,540,R,6660,.,.,R,5486,R,247,R,5733,R,5880,R,390,R,6270,R,6000,R,540,R,6540,R,6120,R,540,R,6660,.,.,R,5486,R,247,R,5733,R,5880,R,390,R,6270,R,6000,R,540,R,6540,R,6120,R,540,R,6660,.,.,R,750,R,750,R,750,R,750,R,2026,R,2095,R,5310,R,4800,R,1541,R,1541,R,1600,R,1650,R,7000,R,7500,R,7750,R,8000,R,1250,R,1250,R,1250,R,1250,R,2556,R,2556,R,2556,R,2256
159966,R,4922,R,2312,R,410,R,4922,R,2312,R,410,R,15169,R,2312,R,1264,R,5686,R,1862,R,547,R,5686,R,1862,R,547,R,15932,R,1862,R,1331,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,3450,R,1287,R,4737,R,3924,R,1755,R,5679,R,4475,R,1933,R,6408,R,4922,R,2312,R,7234,.,.,R,3450,R,1287,R,4737,R,3924,R,1755,R,5679,R,4475,R,1933,R,6408,R,4922,R,2312,R,7234,.,.,R,11400,R,1287,R,12687,R,12774,R,1755,R,14529,R,13966,R,1933,R,15899,R,15169,R,2312,R,17481,.,.,R,1200,R,1200,R,1200,R,1200,R,7875,R,8160,R,8392,R,8673,R,2922,R,3031,R,3120,R,3167,R,8326,R,8642,R,8789,R,8921,R,3469,R,3599,R,3697,R,3752,R,3469,R,3599,R,3697,R,3752
