clinic_id,site_code,timestamp,primaryStopCode,primaryStopCodeName,secondaryStopCodeName,patientFriendlyLocationName,directSchedulingPatient,vaStationName
8995,549,2020-04-14T13:26:52.602848Z,304,DERMATOLOGY,*Missing*,DALLAS DERMATOLOGY,false,Dallas VA Medical Center
8995,549,2020-04-14T13:27:36.665192Z,304,DERMATOLOGY,*Missing*,DALLAS DERMATOLOGY,false,Dallas VA Medical Center
8995,549,2020-04-15T13:08:30.563132Z,304,DERMATOLOGY,*Missing*,DALLAS DERMATOLOGY,false,Dallas VA Medical Center
9486,549,2020-03-30T18:35:01.111450Z,109,NUCLEAR MEDICINE,*Missing*,DALLAS NUCLEAR MEDICINE,false,Dallas VA Medical Center
9486,549,2020-03-30T18:47:02.550890Z,109,NUCLEAR MEDICINE,*Missing*,DALLAS NUCLEAR MEDICINE,false,Dallas VA Medical Center
9486,549,2020-03-30T18:47:19.293473Z,109,NUCLEAR MEDICINE,*Missing*,DALLAS NUCLEAR MEDICINE,false,Dallas VA Medical Center
9486,549,2020-03-30T18:47:37.111423Z,109,NUCLEAR MEDICINE,*Missing*,DALLAS NUCLEAR MEDICINE,false,Dallas VA Medical Center
7488,553,2020-04-14T03:05:13.626362Z,115,ULTRASOUND,*Missing*,DET US ROOM F,false,John D. Dingell Department of Veterans Affairs Medical Center
7601,553,2020-04-14T03:05:29.606205Z,527,TELEPHONE MH,SOCIAL WORK SERVICE,DET MH BLUE MSW 2 TELEPHONE,false,John D. Dingell Department of Veterans Affairs Medical Center
20604,554,2020-04-08T20:31:09.765243Z,115,ULTRASOUND,*Missing*,ULTRASOUND,false,Rocky Mountain Regional VA Medical Center
20604,554,2020-04-08T20:30:53.409792Z,115,ULTRASOUND,*Missing*,ULTRASOUND,false,Rocky Mountain Regional VA Medical Center
20604,554,2020-04-08T20:31:45.774171Z,115,ULTRASOUND,*Missing*,ULTRASOUND,false,Rocky Mountain Regional VA Medical Center
20604,554,2020-04-08T20:31:24.979750Z,115,ULTRASOUND,*Missing*,ULTRASOUND,false,Rocky Mountain Regional VA Medical Center
10118,558,2020-04-06T21:39:11.961727Z,502,MENTAL HEALTH CLINIC - IND,PSYCHIATRY,,false,Durham VA Medical Center
10503,558,2020-04-08T00:33:50.485905Z,338,TELEPHONE PRIMARY CARE,FELLOW/RESIDENT,PACT2 PHONE,false,Durham VA Medical Center
5361,558,2020-04-09T16:29:03.328984Z,304,DERMATOLOGY,*Missing*,DUR-8A-DERM,false,Durham VA Medical Center
5361,558,2020-04-09T16:28:45.254488Z,304,DERMATOLOGY,*Missing*,DUR-8A-DERM,false,Durham VA Medical Center
8765,558,2020-04-16T17:16:53.226632Z,304,DERMATOLOGY,*Missing*,DUR-8A-DERM,false,Durham VA Medical Center
3722,561,2020-04-18T06:39:53.282497Z,502,MENTAL HEALTH CLINIC - IND,SOCIAL WORK SERVICE,,false,Hackensack VA Clinic
3722,561,2020-04-18T06:40:02.609193Z,502,MENTAL HEALTH CLINIC - IND,SOCIAL WORK SERVICE,,false,Hackensack VA Clinic
3722,561,2020-04-18T06:40:20.754500Z,502,MENTAL HEALTH CLINIC - IND,SOCIAL WORK SERVICE,,false,Hackensack VA Clinic
5444,561,2020-04-09T14:02:54.282951Z,502,MENTAL HEALTH CLINIC - IND,PSYCHIATRY,,false,Lyons VA Medical Center
3437,564,2020-04-14T19:38:12.384795Z,123,NUTRITION/DIETETICS-INDIVIDUAL,*Missing*,,false,Fayetteville VA Medical Center
3437,564,2020-04-14T19:38:31.529431Z,123,NUTRITION/DIETETICS-INDIVIDUAL,*Missing*,,false,Fayetteville VA Medical Center
5561,565,2020-04-15T11:18:03.947154Z,322,COMP WOMEN'S HLTH,*Missing*,PC Ugah,true,Cumberland County VA Clinic
5561,565,2020-04-15T11:17:38.377170Z,322,COMP WOMEN'S HLTH,*Missing*,PC Ugah,true,Cumberland County VA Clinic
5561,565,2020-04-16T11:45:45.862331Z,322,COMP WOMEN'S HLTH,*Missing*,PC Ugah,true,Cumberland County VA Clinic
11450,580,2020-03-26T21:17:41.397697Z,203,AUDIOLOGY,*Missing*,HEARING TEST,false,Conroe VA Clinic
11450,580,2020-03-25T19:31:30.940960Z,203,AUDIOLOGY,*Missing*,HEARING TEST,false,Conroe VA Clinic
11450,580,2020-03-25T19:31:45.457116Z,203,AUDIOLOGY,*Missing*,HEARING TEST,false,Conroe VA Clinic
12427,580,2020-04-08T15:26:41.034967Z,151,MAGNETIC RESONANCE IMAGING/MRI,*Missing*,,false,Michael E. DeBakey Department of Veterans Affairs Medical Center
18454,583,2020-04-18T00:19:11.950336Z,150,COMPUTERIZED TOMOGRAPHY (CT),*Missing*,,false,Richard L. Roudebush Veterans' Administration Medical Center
18597,583,2020-04-20T15:33:53.654410Z,315,NEUROLOGY,*Missing*,,false,Richard L. Roudebush Veterans' Administration Medical Center
18597,583,2020-04-20T15:33:34.142815Z,315,NEUROLOGY,*Missing*,,false,Richard L. Roudebush Veterans' Administration Medical Center
18597,583,2020-04-20T15:32:48.216575Z,315,NEUROLOGY,*Missing*,,false,Richard L. Roudebush Veterans' Administration Medical Center
18597,583,2020-04-20T15:33:17.057059Z,315,NEUROLOGY,*Missing*,,false,Richard L. Roudebush Veterans' Administration Medical Center
21528,583,2020-03-29T16:38:51.910979Z,502,MENTAL HEALTH CLINIC - IND,*Missing*,,false,Wakeman VA Clinic
21564,583,2020-04-14T12:14:21.117675Z,502,MENTAL HEALTH CLINIC - IND,*Missing*,,false,Richard L. Roudebush Veterans' Administration Medical Center
23405,583,2020-04-14T23:06:06.352289Z,338,TELEPHONE PRIMARY CARE,NURSING (2ND ONLY),,false,Richard L. Roudebush Veterans' Administration Medical Center
5798,586,2020-04-14T16:12:21.256268Z,527,TELEPHONE MH,SOCIAL WORK SERVICE,JAC MH OPC SW 6 TELEPHONE-BRYANT,false,G.V. (Sonny) Montgomery Department of Veterans Affairs Medical Center
5798,586,2020-04-14T15:51:58.846069Z,527,TELEPHONE MH,SOCIAL WORK SERVICE,JAC MH OPC SW 6 TELEPHONE-BRYANT,false,G.V. (Sonny) Montgomery Department of Veterans Affairs Medical Center
9853,593,2020-04-16T18:03:36.778690Z,109,NUCLEAR MEDICINE,CARDIAC STRESS TEST,NUC STRESS TEST RADIOLOGY,false,North Las Vegas VA Medical Center
9853,593,2020-04-16T21:45:20.094164Z,109,NUCLEAR MEDICINE,CARDIAC STRESS TEST,NUC STRESS TEST RADIOLOGY,false,North Las Vegas VA Medical Center
2724,598,2020-03-31T03:01:51.533183Z,674,ADMIN PAT ACTIVTIES (MASNONCT),*Missing*,,false,John L. McClellan Memorial Veterans' Hospital
2724,598,2020-03-31T03:02:57.523148Z,674,ADMIN PAT ACTIVTIES (MASNONCT),*Missing*,,false,John L. McClellan Memorial Veterans' Hospital
4405,598,2020-04-15T17:17:21.906005Z,304,DERMATOLOGY,FELLOW/RESIDENT,,false,John L. McClellan Memorial Veterans' Hospital
4405,598,2020-04-15T17:17:02.024876Z,304,DERMATOLOGY,FELLOW/RESIDENT,,false,John L. McClellan Memorial Veterans' Hospital
2892,614,2020-04-15T20:16:18.701528Z,,,,,,
2892,614,2020-04-15T20:11:08.662048Z,,,,,,
14121,626,2020-03-31T00:20:28.682701Z,,,,,,
1820,626,2020-03-24T20:42:46.333901Z,108,LABORATORY,*Missing*,,false,Clarksville VA Clinic
1820,626,2020-03-24T20:42:31.850969Z,108,LABORATORY,*Missing*,,false,Clarksville VA Clinic
7844,635,2020-04-20T12:12:43.457738Z,108,LABORATORY,*Missing*,,false,Wichita Falls VA Clinic
7844,635,2020-04-20T12:13:29.100035Z,108,LABORATORY,*Missing*,,false,Wichita Falls VA Clinic
13339,636,2020-03-30T23:24:50.277608Z,432,PRE-SURG EVAL,UROLOGY CLINIC,IC UROLOGY PRE-OP CLINIC,false,Iowa City VA Medical Center
24978,636,2020-04-20T22:25:19.576615Z,502,MENTAL HEALTH CLINIC - IND,NURSE PRACTITIONER,CED/CRRC PSYCHIATRY NP METCALF,false,Linn County VA Clinic
24978,636,2020-04-20T22:25:59.525022Z,502,MENTAL HEALTH CLINIC - IND,NURSE PRACTITIONER,CED/CRRC PSYCHIATRY NP METCALF,false,Linn County VA Clinic
5560,637,2020-03-30T14:18:29.279547Z,151,MAGNETIC RESONANCE IMAGING/MRI,*Missing*,MRI,false,Charles George Department of Veterans Affairs Medical Center
5560,637,2020-03-30T14:18:14.003427Z,151,MAGNETIC RESONANCE IMAGING/MRI,*Missing*,MRI,false,Charles George Department of Veterans Affairs Medical Center
20,652,2020-04-15T20:38:09.569750Z,314,RHEUMATOLOGY/ARTHRITIS,*Missing*,,,Hunter Holmes McGuire Hospital
20,652,2020-04-15T16:18:04.486059Z,314,RHEUMATOLOGY/ARTHRITIS,*Missing*,,,Hunter Holmes McGuire Hospital
20,652,2020-04-15T16:18:41.312009Z,314,RHEUMATOLOGY/ARTHRITIS,*Missing*,,,Hunter Holmes McGuire Hospital
20,652,2020-04-15T16:18:17.546108Z,314,RHEUMATOLOGY/ARTHRITIS,*Missing*,,,Hunter Holmes McGuire Hospital
3978,652,2020-04-06T13:02:25.390543Z,372,WEIGHT MGMT & MOVE! PROG - IND,*Missing*,,false,Hunter Holmes McGuire Hospital
3978,652,2020-04-06T13:12:37.993163Z,372,WEIGHT MGMT & MOVE! PROG - IND,*Missing*,,false,Hunter Holmes McGuire Hospital
6853,654,2020-03-24T17:03:31.550646Z,349,SLEEP MEDICINE,NURSE PRACTITIONER,RENO SLEEP CLINIC NP 02,false,Ioannis A. Lougaris Veterans' Administration Medical Center
18274,657,2020-04-20T02:56:54.397745Z,527,TELEPHONE MH,MENTAL HEALTH CLINIC - IND,JB MH PHONE HANSEN,false,St. Louis VA Medical Center-Jefferson Barracks
18274,657,2020-04-20T03:09:54.740557Z,527,TELEPHONE MH,MENTAL HEALTH CLINIC - IND,JB MH PHONE HANSEN,false,St. Louis VA Medical Center-Jefferson Barracks
18274,657,2020-04-20T02:55:27.825094Z,527,TELEPHONE MH,MENTAL HEALTH CLINIC - IND,JB MH PHONE HANSEN,false,St. Louis VA Medical Center-Jefferson Barracks
2121,659,2020-04-20T11:54:57.551037Z,408,OPTOMETRY,*Missing*,EYE CLINIC 1 [DAVIS],false,W.G. (Bill) Hefner Salisbury Department of Veterans Affairs Medical Center
4710,659,2020-04-20T11:54:35.988299Z,408,OPTOMETRY,*Missing*,VISUAL FIELD EYE CLINIC,false,W.G. (Bill) Hefner Salisbury Department of Veterans Affairs Medical Center
15776,671,2020-03-27T21:04:09.852001Z,108,LABORATORY,*Missing*,SAA NE 410 CBOC LAB 2,false,San Antonio VA Clinic
11609,674,2020-03-24T16:47:02.711978Z,407,OPHTHALMOLOGY,*Missing*,SURGERY,true,Austin VA Clinic
11609,674,2020-03-24T16:47:58.829224Z,407,OPHTHALMOLOGY,*Missing*,SURGERY,true,Austin VA Clinic
11609,674,2020-03-24T16:46:43.542019Z,407,OPHTHALMOLOGY,*Missing*,SURGERY,true,Austin VA Clinic
11723,674,2020-03-24T16:43:09.766780Z,407,OPHTHALMOLOGY,*Missing*,,true,Austin VA Clinic
11723,674,2020-03-24T16:47:45.432127Z,407,OPHTHALMOLOGY,*Missing*,,true,Austin VA Clinic
11723,674,2020-03-24T16:41:28.003575Z,407,OPHTHALMOLOGY,*Missing*,,true,Austin VA Clinic
9457,674,2020-03-24T16:41:17.241700Z,408,OPTOMETRY,*Missing*,SURGERY,true,Austin VA Clinic
9457,674,2020-04-09T03:55:36.752174Z,408,OPTOMETRY,*Missing*,SURGERY,true,Austin VA Clinic
9457,674,2020-03-24T16:42:56.540230Z,408,OPTOMETRY,*Missing*,SURGERY,true,Austin VA Clinic
9457,674,2020-03-24T16:47:33.641321Z,408,OPTOMETRY,*Missing*,SURGERY,true,Austin VA Clinic
9457,674,2020-03-24T16:41:00.672592Z,408,OPTOMETRY,*Missing*,SURGERY,true,Austin VA Clinic
9457,674,2020-04-09T16:41:25.246572Z,408,OPTOMETRY,*Missing*,SURGERY,true,Austin VA Clinic
9034,675,2020-03-30T19:57:37.261085Z,321,GI ENDOSCOPY,*Missing*,GI PROCEDURE,false,Orlando VA Medical Center
9034,675,2020-03-30T19:58:43.415122Z,321,GI ENDOSCOPY,*Missing*,GI PROCEDURE,false,Orlando VA Medical Center
9034,675,2020-03-30T19:57:21.299755Z,321,GI ENDOSCOPY,*Missing*,GI PROCEDURE,false,Orlando VA Medical Center
9066,675,2020-04-15T12:41:39.595327Z,502,MENTAL HEALTH CLINIC - IND,*Missing*,VARGAS MH COUNSELOR,false,Viera VA Clinic
9217,675,2020-04-19T19:01:39.799093Z,502,MENTAL HEALTH CLINIC - IND,PSYCHOLOGY,MENTAL HEALTH RAMNATH,false,Viera VA Clinic
9217,675,2020-04-19T19:12:20.374964Z,502,MENTAL HEALTH CLINIC - IND,PSYCHOLOGY,MENTAL HEALTH RAMNATH,false,Viera VA Clinic
6630,678,2020-03-31T19:59:27.242632Z,338,TELEPHONE PRIMARY CARE,NURSE PRACTITIONER,,false,Tucson VA Medical Center
6630,678,2020-03-31T20:00:23.710319Z,338,TELEPHONE PRIMARY CARE,NURSE PRACTITIONER,,false,Tucson VA Medical Center
3910,740,2020-03-31T00:42:44.181323Z,323,PRIMARY CARE/MEDICINE,*Missing*,CC PACT ORANGE TEAM,false,Corpus Christi VA Clinic
3910,740,2020-03-31T00:43:18.009939Z,323,PRIMARY CARE/MEDICINE,*Missing*,CC PACT ORANGE TEAM,false,Corpus Christi VA Clinic
3910,740,2020-03-31T00:41:51.883450Z,323,PRIMARY CARE/MEDICINE,*Missing*,CC PACT ORANGE TEAM,false,Corpus Christi VA Clinic
